dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_10,613.477269041,1..11,50,20,113,58,29627.96998762913,1641.9017997906612,22165.83062960567,1359.9431199710261
skas_10,613.56213922,1..11,50,20,115,60,41004.328741921774,2573.604187509536,21909.63017530306,1396.7137149604057
skas_10,540.263911815,1..11,50,20,107,52,38296.02372409607,1778.7399581856723,21409.45615587543,1366.7015667190394
skas_10,494.356170285,1..11,50,20,93,38,42680.57373710524,2150.60081144152,22021.253044917958,1341.001506785567
skas_10,309.719105208,1..11,50,20,58,3,35302.36613281341,1755.9442946370136,22995.773027618285,1626.4681554398871
skas_10,756.525567939,1..11,50,20,148,93,51707.796594853775,3115.014642995718,22873.71704793784,1404.1425780626466
skas_10,376.282858193,1..11,50,20,69,14,38990.422795031634,1873.9788374240668,22204.271313062418,1496.054049350671
skas_10,402.061692312,1..11,50,20,79,24,32907.666476041995,1963.6396330326213,21921.26768579996,1262.8905598875076
skas_10,692.97324804,1..11,50,20,126,71,57735.25245246468,2732.4911467376774,22039.252216460158,1543.6700792594372
skas_10,701.529008159,1..11,50,20,137,82,42974.79355543358,2318.313090807325,19626.545043242873,1350.152689135098
skas_10,572.464149741,1..11,50,20,110,55,53759.33078073803,2757.168279340593,21917.21862995211,1478.0435951911793
skas_10,678.180625496,1..11,50,20,130,75,35784.202450770856,2070.735167446449,19913.60405194472,1298.3422169214396
skas_10,764.807062225,1..11,50,20,145,90,48520.41227990687,2588.465381467386,20152.635325309086,1307.9175640369801
skas_10,314.905996626,1..11,50,20,66,11,35247.746247152136,2089.2605252290778,24232.979615149165,1573.7273748612583
skas_10,704.478309177,1..11,50,20,139,84,43164.263349248286,1957.1335487123717,24457.169220222484,1672.7500103604943
skas_10,527.182060557,1..11,50,20,101,46,47153.01729406678,2539.859686812488,22618.539952213014,1424.2229609323217
skas_10,367.954485639,1..11,50,20,66,11,47268.25805311914,3063.5517488367495,24142.646889946802,1586.915131191987
skas_10,697.674809609,1..11,50,20,130,75,38525.491714026146,1756.673531908848,22827.16130749411,1442.6770608756349
skas_10,327.444748405,1..11,50,20,66,11,33736.48083381845,2111.904310304294,22857.928361362206,1491.295891467844
skas_10,537.388688782,1..11,50,20,106,51,54047.221617146206,2981.8412152006463,22589.495265167912,1383.4791863776165
skas_10,752.897341896,1..11,50,20,147,92,41975.282823430345,2306.8377077368937,22281.725286730132,1460.5727256628868
skas_10,496.397328108,1..11,50,20,85,30,40652.97162667393,2233.930751266025,20306.451084845216,1381.5719542578647
skas_10,511.012956134,1..11,50,20,100,45,33744.56541021346,1854.644547549914,22682.41079735455,1422.795864208029
skas_10,358.78789264,1..11,50,20,66,11,51274.336238845935,2513.4904307475645,22288.32949488561,1483.8918625743593
skas_10,293.852091737,1..11,50,20,58,3,64468.77877432978,3050.7671825591465,23390.184176666276,1578.2749284621336
skas_10,502.163429567,1..11,50,20,94,39,51245.19141670308,2553.8966738453196,23557.933350141702,1700.9770879553894
skas_10,411.338169982,1..11,50,20,87,32,30291.039647747184,1491.2332702865801,22691.685201239517,1411.7959997050527
skas_10,422.280144028,1..11,50,20,76,21,38409.977073750735,2056.52284362272,21136.992621256282,1337.8485761046302
skas_10,401.854874689,1..11,50,20,72,17,45095.09934524576,2327.7151973766477,23070.433223523247,1441.4963654426074
skas_10,888.13708437,1..11,50,20,172,117,36687.087333619886,1790.7704978415868,19387.623944771716,1238.720899318911
skas_10,646.299421719,1..11,50,20,121,66,38047.74676686055,2191.310369161134,21644.457190179684,1414.0883379158554
skas_10,310.880736232,1..11,50,20,60,5,34310.945833522856,2004.811175615476,23078.839082377006,1341.5405403088735
skas_10,842.306334476,1..11,50,20,162,107,42666.0570438326,1965.4860354490002,21078.40250043955,1511.9796290598144
skas_10,479.373071231,1..11,50,20,96,41,59766.10384609162,3156.211316961295,20385.622348469533,1328.9264509310415
skas_10,818.187005207,1..11,50,20,158,103,46204.4062412168,2613.1118631486715,21080.593548936624,1372.3802913218155
