dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_10s,2.23642189,1..11,50,20,181,126,31406.750842648475,1524.3235635863052,17193.290736766176,1225.3988827349865
skas_10s+,2.23642189,1..11,50,20,181,126,35574.21336791945,1818.294711076619,21830.948208487134,1603.0182427193058
skas_10s,1.084963268,1..11,50,20,88,33,47073.522394866784,2394.8925752852606,18057.522430707602,1087.5715067419378
skas_10s+,1.084963268,1..11,50,20,88,33,50248.206585826236,2518.3945939150535,24705.7524472661,1498.6109626114571
skas_10s,0.780864212,1..11,50,20,61,6,45720.04658422822,2726.6512528858875,17681.229785873693,1143.2972078549412
skas_10s+,0.780864212,1..11,50,20,61,6,53187.92937513179,3137.2465968522556,21640.282091154157,1441.9847365679034
skas_10s,1.54279903,1..11,50,20,130,75,41690.15897379583,2159.0534193541575,17668.707279444872,1157.9260136947423
skas_10s+,1.54279903,1..11,50,20,130,75,49079.721919574,2614.378136623636,24471.085096222756,1469.0743602722243
skas_10s,1.22941438,1..11,50,20,101,46,27687.55628332948,1543.7827849358468,17620.941860961913,1204.175503693596
skas_10s+,1.22941438,1..11,50,20,101,46,31247.143641697745,1768.00709793076,24784.061131266284,1605.7462776059872
skas_10s,1.507439405,1..11,50,20,126,71,42269.92848666886,2497.2927981083103,16391.054960483052,1119.241511609191
skas_10s+,1.507439405,1..11,50,20,126,71,46367.42556592409,2662.0449036278105,22008.721961241656,1516.0909772847367
skas_10s,0.853365236,1..11,50,20,71,16,34411.36495237365,1765.644803163723,17835.60914312621,1172.1651120176589
skas_10s+,0.853365236,1..11,50,20,71,16,42769.95787212729,2223.2496563534023,26362.465247534863,1729.1084000113049
skas_10s,1.422355861,1..11,50,20,118,63,39770.70508721834,1934.2446435657207,17737.998444107616,1258.0804351250101
skas_10s+,1.422355861,1..11,50,20,118,63,49607.753247586894,2399.4169510251404,23536.046332155045,1686.4671057707783
skas_10s,1.212442331,1..11,50,20,100,45,45326.25506251158,2680.7638457210574,18206.108712364712,1327.055777975413
skas_10s+,1.212442331,1..11,50,20,100,45,51615.36861611865,2980.532856372423,25746.632406397985,1889.8700817173308
skas_10s,2.624915067,1..11,50,20,216,161,37152.28800048384,1922.634975012644,16723.76519521099,1142.0282516916707
skas_10s+,2.624915067,1..11,50,20,216,161,42667.02141115187,2281.3468938953556,22372.440935810304,1437.0805155504631
skas_10s,1.01002609,1..11,50,20,77,22,45004.21077672855,2323.6521539871437,18653.76223867617,1187.6507170651673
skas_10s+,1.01002609,1..11,50,20,77,22,52024.648327497736,2664.8186733374773,26106.94984770198,1550.8370041351768
skas_10s,0.829979503,1..11,50,20,71,16,32368.88083844645,1480.4420424971486,18886.065377924057,1156.3137382836899
skas_10s+,0.829979503,1..11,50,20,71,16,37486.30356039376,1839.3442601575357,24880.598278919333,1467.2572663675053
skas_10s,0.80535528,1..11,50,20,60,5,29736.037566073825,1540.0662347827094,20105.517764646047,1389.772710321485
skas_10s+,0.80535528,1..11,50,20,60,5,34048.721342089826,1777.7234873967484,28538.51900206854,1872.8000144141147
skas_10s,1.013609549,1..11,50,20,85,30,35323.47179002284,1803.8606241370694,17234.742650748958,1169.8803593469156
skas_10s+,1.013609549,1..11,50,20,85,30,43760.23910096059,2194.6593436251837,24278.16316664111,1571.5214747697712
skas_10s,0.7898613,1..11,50,20,62,7,61255.99224238898,2942.859103278508,17348.873712809003,1203.5599396961784
skas_10s+,0.7898613,1..11,50,20,62,7,70869.52733428945,3490.0389939768806,21858.19436542563,1496.3751127338498
skas_10s,1.150267659,1..11,50,20,97,42,35467.40974550928,1962.5035742186506,18889.990546240464,1346.9888217953578
skas_10s+,1.150267659,1..11,50,20,97,42,41264.665041907036,2219.6266965751215,25448.870770859146,1775.5069372816092
skas_10s,1.146419821,1..11,50,20,90,35,42526.370281371106,2036.4845630836237,17161.47166907873,1140.8134656450716
skas_10s+,1.146419821,1..11,50,20,90,35,47495.132116348024,2342.978978104386,23808.30750299352,1498.5861119091455
skas_10s,1.52291135,1..11,50,20,132,77,42886.65322101366,2298.0676630968537,19577.618789965647,1291.1613473448517
skas_10s+,1.52291135,1..11,50,20,132,77,45901.40902884138,2508.5662391752585,24065.049747345864,1580.801108781655
skas_10s,0.853985514,1..11,50,20,65,10,38564.525853498846,2139.392099486618,20897.267964887753,1376.9394604629147
skas_10s+,0.853985514,1..11,50,20,65,10,42576.66179472509,2447.1202238649357,26115.393094373077,1676.9528853824877
skas_10s,0.877656955,1..11,50,20,73,18,48228.60550270171,2668.804885488109,20430.381132298917,1239.7650928660462
skas_10s+,0.877656955,1..11,50,20,73,18,53915.682248351,3004.614494426517,26406.499508852005,1606.7938952400339
skas_10s,1.208918787,1..11,50,20,94,39,51669.572223815245,2716.318900021625,18311.829858247595,1151.378962272048
skas_10s+,1.208918787,1..11,50,20,94,39,56684.58784868942,2993.262976752906,21364.935225058078,1367.9740265208352
skas_10s,2.142546073,1..11,50,20,173,118,36062.63702722542,2086.958226394508,17661.022126813692,1282.8838102521768
skas_10s+,2.142546073,1..11,50,20,173,118,39943.444356515,2305.3073039611645,24203.49123877229,1756.3779902176059
skas_10s,1.998398807,1..11,50,20,163,108,27634.656370557936,1612.1136729233033,16863.27861415336,1124.340214575668
skas_10s+,1.998398807,1..11,50,20,163,108,31338.599598208286,1811.7222950182756,21003.273016468618,1403.3367798463062
skas_10s,1.260157276,1..11,50,20,102,47,39993.22406641887,2156.113484777907,19987.868136970268,1339.8935143540357
skas_10s+,1.260157276,1..11,50,20,102,47,46850.97219138109,2622.103365621596,25923.252943032985,1589.0358325996897
skas_10s,1.345774143,1..11,50,20,108,53,28349.329810211962,1624.150016597937,18989.80122372887,1337.8262830147721
skas_10s+,1.345774143,1..11,50,20,108,53,38481.04905363712,2213.061961444701,24351.151650696116,1643.1277321095872
skas_10s,1.362876827,1..11,50,20,114,59,46311.272643219345,2567.9260794742354,18878.301127197567,1223.0403372823491
skas_10s+,1.362876827,1..11,50,20,114,59,53416.32651919931,2997.0913393534934,25757.335509194025,1577.3432095525181
skas_10s,0.986798552,1..11,50,20,84,29,39823.30733124271,2151.4554934048483,18088.483690385092,1233.6919346743666
skas_10s+,0.986798552,1..11,50,20,84,29,46409.390183387324,2490.6628376120334,21484.65934443941,1507.9929128478132
skas_10s,0.786099414,1..11,50,20,63,8,37188.202732342106,1795.3249133235493,18418.500554063154,1230.0638912286045
skas_10s+,0.786099414,1..11,50,20,63,8,39452.281202283746,1975.4852790538573,25481.261722320047,1566.5306917385237
skas_10s,1.881935851,1..11,50,20,163,108,41787.11188636909,1816.3107574481548,18477.68032437756,1295.321038829624
skas_10s+,1.881935851,1..11,50,20,163,108,46740.18026527211,2193.65288888092,23720.664350711424,1686.0590110831404
skas_10s,0.925264671,1..11,50,20,78,23,30278.341101953603,1643.1133744991403,18348.477566407895,1242.6238345257611
skas_10s+,0.925264671,1..11,50,20,78,23,34404.36594601996,1839.3452084085293,26362.654750118898,1784.290486977405
skas_10s,1.802404389,1..11,50,20,154,99,39153.11209568539,1984.1285403936492,17851.877614373123,1083.0049804025832
skas_10s+,1.802404389,1..11,50,20,154,99,48171.7415653792,2465.0427372009517,27386.845410743346,1545.7736082782371
skas_10s,1.188941219,1..11,50,20,98,43,48658.55618597827,2292.9028960673313,18770.99497244804,1176.6584576232217
skas_10s+,1.188941219,1..11,50,20,98,43,51734.21898056421,2465.2192218971436,22860.980895677654,1438.607372977014
skas_10s,1.016883883,1..11,50,20,87,32,30165.270359897437,1469.8552348140047,18074.769572319812,1285.5618949526051
skas_10s+,1.016883883,1..11,50,20,87,32,35956.50417653443,1789.056326966059,24450.811721341466,1715.0318135611078
skas_10s,0.791057163,1..11,50,20,64,9,35069.068627417684,1702.509551969177,20223.156113482146,1315.9688165436946
skas_10s+,0.791057163,1..11,50,20,64,9,44160.71853039839,2162.7982784123415,24676.68122241473,1591.5514099603342
skas_10s,0.741157779,1..11,50,20,63,8,42062.735680213045,2256.779105281966,18679.930352868294,1306.035421948542
skas_10s+,0.741157779,1..11,50,20,63,8,45475.29913611661,2521.623770506239,23768.41909407908,1597.2759463060036
skas_10s,1.900267644,1..11,50,20,159,104,33482.0590431549,1900.6452753009771,18131.604875091336,1192.3682572849655
skas_10s+,1.900267644,1..11,50,20,159,104,40797.5491992288,2351.951652541513,26039.7864400788,1600.0616386577858
skas_10s,1.508707081,1..11,50,20,127,72,46911.0959276189,2115.355882971052,17590.454167918597,1200.6450485238122
skas_10s+,1.508707081,1..11,50,20,127,72,49127.577160389,2169.8795544316727,22686.892065989377,1523.1111097651462
skas_10s,0.748381622,1..11,50,20,64,9,31762.78820135557,1643.8334639107447,18606.7909077621,1250.6878234693654
skas_10s+,0.748381622,1..11,50,20,64,9,36288.03368615619,1909.6984053325996,24568.538296531,1676.8817336726293
skas_10s,1.067155286,1..11,50,20,94,39,30829.22124379191,1798.4831190621787,16778.99488092937,1173.8437398816252
skas_10s+,1.067155286,1..11,50,20,94,39,39359.72374187735,2273.17038338387,24126.234076033226,1708.516406106935
skas_10s,0.761750666,1..11,50,20,70,15,40131.62854267465,2091.038391234272,19351.05403552538,1359.4748121835426
skas_10s+,0.761750666,1..11,50,20,70,15,43413.09830057306,2303.7307390807755,24933.050748597336,1677.7807765130124
skas_10s,0.757397363,1..11,50,20,66,11,38672.28868028877,2642.0477340109032,18287.39369103009,1213.4643521367639
skas_10s+,0.757397363,1..11,50,20,66,11,41914.421405707515,2849.0955345635416,21403.63275756172,1379.0427266712247
skas_10s,1.235412546,1..11,50,20,100,45,45086.55250092193,2416.261249739325,17954.00016866117,1207.9085384683792
skas_10s+,1.235412546,1..11,50,20,100,45,49200.20441807253,2698.3396771254843,24160.035121094865,1517.5210945506558
skas_10s,1.469469172,1..11,50,20,130,75,36170.733370365975,1937.2698290071248,18333.150597194443,1086.268463915119
skas_10s+,1.469469172,1..11,50,20,130,75,40722.56744041932,2202.4360544385195,24719.38717029027,1516.3284871086826
skas_10s,1.041615344,1..11,50,20,87,32,42619.81193612749,1918.8699186613487,18589.992816311355,1244.3749519896662
skas_10s+,1.041615344,1..11,50,20,87,32,48852.84393200523,2238.5268005307407,22676.568247696076,1562.1918668395106
skas_10s,1.305164171,1..11,50,20,109,54,36419.617706698446,1889.1105622050898,18841.11487429363,1309.239436383242
skas_10s+,1.305164171,1..11,50,20,109,54,45502.95521560573,2361.1608599459355,26934.97793314924,1737.7973381268628
skas_10s,2.739795496,1..11,50,20,224,169,54248.68261490241,2652.6725736713333,16461.300367337026,1113.4360459302573
skas_10s+,2.739795496,1..11,50,20,224,169,63522.03975509266,3129.364242672176,23032.19580918476,1532.0290428224662
skas_10s,1.947917945,1..11,50,20,164,109,35162.579796213206,1786.82808005464,16754.2917135752,1110.7579504629443
skas_10s+,1.947917945,1..11,50,20,164,109,42899.19385816079,2158.186565954137,20594.278718182777,1407.0922403164957
skas_10s,1.113057783,1..11,50,20,90,35,36659.58011527002,1868.682862926403,19163.97963423951,1280.2607830824743
skas_10s+,1.113057783,1..11,50,20,90,35,46525.187566008084,2377.904614365572,27597.830090822812,1735.159713602583
skas_10s,0.841259527,1..11,50,20,69,14,38882.80931113443,2397.245100757883,17520.451474356956,1189.999137312588
skas_10s+,0.841259527,1..11,50,20,69,14,46112.90438487391,2758.6699780907284,23078.80748270236,1539.1304570759296
skas_10s,0.738755475,1..11,50,20,60,5,42384.84169294568,2216.1701893111344,18863.429724561323,1349.2147644395895
skas_10s+,0.738755475,1..11,50,20,60,5,48189.2163786535,2541.387670135188,24603.92139900789,1679.2619326405515
skas_10s,1.312279993,1..11,50,20,109,54,32767.949287231862,1869.7040874358129,17942.345736748768,1207.1844237471162
skas_10s+,1.312279993,1..11,50,20,109,54,37157.22683825006,2164.6056878229774,23643.856643579682,1505.1896547720792
skas_10s,1.372904023,1..11,50,20,124,69,48864.200104017815,2443.591732929716,18547.170688417154,1142.2064347324992
skas_10s+,1.372904023,1..11,50,20,124,69,53660.599424472806,2744.1671885455253,24982.217423606744,1518.8497320271867
skas_10s,1.160554333,1..11,50,20,90,35,46470.06758783208,2556.491436920375,18666.656377841773,1249.0164964240232
skas_10s+,1.160554333,1..11,50,20,90,35,53992.01826669656,2976.0971683916696,22394.43087376822,1489.840311041702
skas_10s,1.822630049,1..11,50,20,154,99,33593.48633271493,1786.3917054123028,17956.794876632994,1183.057633671469
skas_10s+,1.822630049,1..11,50,20,154,99,36645.77634695418,1959.9520035128912,21339.712955726034,1456.264937851597
skas_10s,1.41983216,1..11,50,20,112,57,30353.993576491448,1737.9553434298734,18811.609444778802,1236.8308536904742
skas_10s+,1.41983216,1..11,50,20,112,57,34973.53246163982,2011.0097625093654,26549.79642555881,1643.7939101574405
