dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_6,113.792224852,1..17,100,30,116,14,5596.507140046356,421.54913748213,2337.812633821213,225.2929359655227
skas_6,154.301144326,1..17,100,30,162,60,4044.956327302759,297.8692348004929,2503.525242661769,295.18607640961255
skas_6,171.779100718,1..17,100,30,183,81,4427.772891214685,402.1393337338243,2185.493174953358,252.5839063705061
skas_6,106.579575024,1..17,100,30,114,12,5422.295504772606,339.3292664931864,2188.7545141853307,223.46897289105715
skas_6,165.621116034,1..17,100,30,180,78,5525.956986394048,450.21482119133736,2139.764516611405,246.0578362434465
skas_6,115.582323597,1..17,100,30,123,21,4158.255381062804,420.905628575274,2350.0,274.0
skas_6,128.874485991,1..17,100,30,129,27,4176.842741629422,298.8078793013801,2006.2430048402548,224.34846384255619
skas_6,110.251077817,1..17,100,30,120,18,5038.2021052264645,410.68492671068617,2078.3310501211927,218.16552506059645
skas_6,105.008810379,1..17,100,30,108,6,4575.06283062007,326.34790295605904,2212.9560278957547,262.7590378080385
skas_6,145.99834712,1..17,100,30,150,48,4499.929062126806,439.0099960485786,2260.2114047809087,257.05299263414815
skas_6,132.886176573,1..17,100,30,138,36,5262.845510417341,511.26378374157537,2185.493174953358,252.5839063705061
skas_6,113.640418344,1..17,100,30,123,21,4431.344183398244,419.2298160214952,1976.716633121078,227.37856351124344
skas_6,107.738503106,1..17,100,30,106,4,5432.868428365342,384.2673667994689,2543.908863544076,280.1809248231035
skas_6,116.93566938,1..17,100,30,120,18,5068.265490647292,482.9435667024043,1693.1050124717892,177.52920899760815
skas_6,208.091537152,1..17,100,30,218,116,4456.117354389065,478.7465638266216,1974.0924882358968,218.8508966099769
skas_6,120.180601916,1..17,100,30,123,21,3666.747420466368,297.75401848939214,2183.442349940473,223.83819586550845
skas_6,117.57556914,1..17,100,30,111,9,6058.91918697487,548.9799111803304,2183.442349940473,223.83819586550845
skas_6,126.949332935,1..17,100,30,126,24,4141.457256400786,316.05993586068706,2223.5818617086975,250.04339685102138
skas_6,169.146005986,1..17,100,30,171,69,4852.869270294741,323.0835312285938,2006.2430048402548,224.34846384255619
skas_6,112.353788827,1..17,100,30,119,17,3812.850905540821,333.02027432423245,1976.6628728339288,232.3429969577167
skas_6,102.573440355,1..17,100,30,110,8,5447.921997095526,433.9894826741766,2075.0,239.0
skas_6,136.146634166,1..17,100,30,146,44,5372.125116517805,396.008466436797,2185.493174953358,252.5839063705061
skas_6,126.185342657,1..17,100,30,129,27,4152.571418129059,261.9078800126557,2212.9560278957547,262.7590378080385
skas_6,145.633372365,1..17,100,30,159,57,8374.011787131205,582.6559966406962,2350.0,274.0
skas_6,133.520572387,1..17,100,30,144,42,5801.125112650102,505.02150949809203,2185.493174953358,252.5839063705061
skas_6,201.563117894,1..17,100,30,198,96,4694.17807158552,449.6197577410266,2318.9859938339255,246.44267859011654
skas_6,116.891597071,1..17,100,30,115,13,4891.792184082164,356.4641680764488,2334.6906901328816,269.6041285105378
skas_6,119.309351206,1..17,100,30,123,21,4653.5919209290105,449.5839282467203,2183.442349940473,223.83819586550845
skas_6,124.178904961,1..17,100,30,132,30,4223.5346019525,467.1132738357335,2125.839917494253,233.19484089408462
skas_6,98.536743581,1..17,100,30,105,3,4428.2165878003,418.61512066979,2223.5818617086975,250.04339685102138
skas_6,127.915842316,1..17,100,30,129,27,6254.0,428.0,2185.493174953358,252.5839063705061
skas_6,193.817735497,1..17,100,30,195,93,5816.65061454517,473.04177627740876,2185.493174953358,252.5839063705061
skas_6,148.527234322,1..17,100,30,153,51,3869.6911735857975,363.06492317879605,1976.716633121078,227.37856351124344
skas_6,156.464135291,1..17,100,30,168,66,3367.307092124643,221.88523819691733,1693.1050124717892,177.52920899760815
skas_6,93.340398303,1..17,100,30,105,3,6851.050167634655,471.6846625360763,2350.0,274.0
skas_6,129.243079093,1..17,100,30,123,21,4397.6582084311185,368.96458098246507,2163.011593977903,244.84769963764853
skas_6,109.6455999,1..17,100,30,110,8,4256.891313157635,274.3844299700683,2692.131050050717,328.8101844083538
