dataset;duration;neighbours;max_no_improv;max_no_improv_ls;iterations;best_iteration;initial_costs;initial_distance;best_costs;best_distance
skas_4s;0,070110639;1,,5;50;20;53;3;3546,432565883877;168,46729750134742;1691,76919268371;95,94277273832998
skas_4s+;0,070110639;1,,5;50;20;53;3;2535,9694029567618;141,88694401171233;1025,6441100119973;74,43410700468536
skas_4s;0,066601697;1,,5;50;20;53;3;3922,1924994819287;182,71326146203737;1619,7072332630596;85,36693777116027
skas_4s+;0,066601697;1,,5;50;20;53;3;2899,8389579407176;151,87783764293377;1033,1665510863984;73,16227766016837
skas_4s;0,064459713;1,,5;50;20;51;1;1981,0317402306948;109,72499786830403;1714,7220999027832;89,49223486666047
skas_4s+;0,064459713;1,,5;50;20;51;1;1210,4721200898252;78,89773509982822;1132;74
skas_4s;0,069504709;1,,5;50;20;53;3;3079,500048673705;160,90276707476121;1691,76919268371;95,94277273832998
skas_4s+;0,069504709;1,,5;50;20;53;3;2921,664540116947;197,0146363948464;1025,6441100119973;74,43410700468536
skas_4s;0,06750039;1,,5;50;20;53;3;2707,7539163683005;124,50529651934646;1619,7072332630596;85,36693777116027
skas_4s+;0,06750039;1,,5;50;20;53;3;2007;100;1033,1665510863984;73,16227766016837
skas_4s;0,066519935;1,,5;50;20;53;3;1880,1045917247327;115,56019543656254;1608,4051903215973;92,552391838347
skas_4s+;0,066519935;1,,5;50;20;53;3;2675,2234925906077;197,4868329805051;1949,1665510863984;141,16227766016837
skas_4s;0,070175075;1,,5;50;20;53;3;2085,0163906402354;95,64570114552842;1619,7072332630596;85,36693777116027
skas_4s+;0,070175075;1,,5;50;20;53;3;1360,4593827954013;70,0384048104053;1033,1665510863984;73,16227766016837
skas_4s;0,073883852;1,,5;50;20;56;6;2742,979894122883;128,35057787741567;1782,2786976851737;92,07787289962447
skas_4s+;0,073883852;1,,5;50;20;56;6;2142,3700112808137;109,79054206113746;1020,7732851851259;66,24246556926859
skas_4s;0,066889809;1,,5;50;20;53;3;2741,8887339272073;148,22348599369167;1691,76919268371;95,94277273832998
skas_4s+;0,066889809;1,,5;50;20;53;3;3014,810346038631;201,07306142877258;1025,6441100119973;74,43410700468536
skas_4s;0,071416065;1,,5;50;20;53;3;3284,2476236416205;144,0823250818088;1488,1050979364022;77,32279374007081
skas_4s+;0,071416065;1,,5;50;20;53;3;2830;140;965,5480479109447;65,48683298050514
skas_4s;0,070016479;1,,5;50;20;51;1;2674,7274923382784;133,6258300733195;1488,1050979364022;77,32279374007081
skas_4s+;0,070016479;1,,5;50;20;51;1;2702,68149495079;148,5298660538038;965,5480479109447;65,48683298050514
skas_4s;0,06933996;1,,5;50;20;53;3;2645,447964811583;125,95417658168586;1691,76919268371;95,94277273832998
skas_4s+;0,06933996;1,,5;50;20;53;3;1965,9134820022289;102,1633524326198;1025,6441100119973;74,43410700468536
skas_4s;0,067839909;1,,5;50;20;53;3;3433,9729692476603;157,6721461039338;1608,4051903215973;92,552391838347
skas_4s+;0,067839909;1,,5;50;20;53;3;2727,4084671108385;128,63071049311205;1949,1665510863984;141,16227766016837
skas_4s;0,07468879;1,,5;50;20;56;6;3281,9822367852526;153,83484895442186;1714,7220999027832;89,49223486666047
skas_4s+;0,07468879;1,,5;50;20;56;6;2357,047492659778;111,97142273814362;1132;74
skas_4s;0,06990967;1,,5;50;20;53;3;2756,0727037645047;137,87900420403417;1608,4051903215973;92,552391838347
skas_4s+;0,06990967;1,,5;50;20;53;3;2094,0615771814178;116,11467291892278;1949,1665510863984;141,16227766016837
skas_4s;0,070872387;1,,5;50;20;51;1;1981,0317402306948;109,72499786830403;1714,7220999027832;89,49223486666047
skas_4s+;0,070872387;1,,5;50;20;51;1;1210,4721200898252;78,89773509982822;1132;74
skas_4s;0,067609737;1,,5;50;20;53;3;2621,5227522350874;160,55090488588547;1608,4051903215973;92,552391838347
skas_4s+;0,067609737;1,,5;50;20;53;3;1967,333295394187;139,64102272262977;1949,1665510863984;141,16227766016837
skas_4s;0,078313319;1,,5;50;20;56;6;2892,554970112327;167,1318875985275;1488,1050979364022;77,32279374007081
skas_4s+;0,078313319;1,,5;50;20;56;6;2193,2696041769864;140,67571635300507;965,5480479109447;65,48683298050514
skas_4s;0,070982629;1,,5;50;20;53;3;2818,667670098286;121,98258963809263;1619,7072332630596;85,36693777116027
skas_4s+;0,070982629;1,,5;50;20;53;3;1559,8621164993683;70,22770502650744;1033,1665510863984;73,16227766016837
skas_4s;0,07724552;1,,5;50;20;53;3;3109,7933291517475;143,96942804567934;1691,76919268371;95,94277273832998
skas_4s+;0,07724552;1,,5;50;20;53;3;2814;140;1025,6441100119973;74,43410700468536
skas_4s;0,062283725;1,,5;50;20;53;3;2362,3541721175507;141,92389789192876;1608,4051903215973;92,552391838347
skas_4s+;0,062283725;1,,5;50;20;53;3;1880,4643642010367;132,43557046198333;1949,1665510863984;141,16227766016837
skas_4s;0,070681483;1,,5;50;20;53;3;3433,9729692476603;157,6721461039338;1608,4051903215973;92,552391838347
skas_4s+;0,070681483;1,,5;50;20;53;3;2727,4084671108385;128,63071049311205;1949,1665510863984;141,16227766016837
skas_4s;0,078915713;1,,5;50;20;53;3;2349,1379842142132;140,43813755787417;1619,7072332630596;85,36693777116027
skas_4s+;0,078915713;1,,5;50;20;53;3;2019,9277003469078;145,43908891458577;1033,1665510863984;73,16227766016837
skas_4s;0,070825302;1,,5;50;20;56;6;2931,750316972158;136,09798777079138;1691,76919268371;95,94277273832998
skas_4s+;0,070825302;1,,5;50;20;56;6;1851,795217622378;98,2236761485243;1025,6441100119973;74,43410700468536
