dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_4t,11.170402,1..5,10,1,11,9,2540.0,130.0,556.5270268524557,38.360583474096885
skas_4t,11.161463,1..5,10,1,11,1,2032.9505704896399,135.94800646600453,556.5270268524557,38.360583474096885
skas_4t,11.185605,1..5,10,1,11,3,2341.5119703372143,112.44934938339964,836.0,43.0
skas_4t,12.118127,1..5,10,2,6,3,2160.524758424985,107.70820393249936,836.0,43.0
skas_4t,22.167233,1..5,20,2,11,3,3089.4777123969343,164.91610116872215,1033.1665510863984,73.16227766016837
skas_4t,21.206165,1..5,20,1.5,14,3,2110.636262671111,118.3851648071345,766.0,36.0
