dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_8,161.45826509,1..9,50,20,126,72,20307.77197298751,1047.2534402228166,11357.871238978187,702.144509159417
skas_8,164.578037596,1..9,50,20,141,87,25775.5163329729,1267.0780622584155,10387.576858412007,743.0727965690561
skas_8,97.183629258,1..9,50,20,87,33,21823.110105830936,993.0809595464276,11066.700468482668,762.5548129745405
skas_8,82.421331067,1..9,50,20,67,13,23301.195342979845,1128.212673643385,10920.241333372811,758.7403087882877
skas_8,73.183225582,1..9,50,20,61,7,20236.301009925977,1197.3513684681693,11420.269661817638,785.5230873030107
skas_8,106.06275476,1..9,50,20,85,31,17649.95284538914,906.6189113733411,11144.39155164131,753.6819245200896
skas_8,94.348728339,1..9,50,20,75,21,18187.351932549274,820.8132510761259,9739.121556539183,667.5267862186321
skas_8,123.316785339,1..9,50,20,103,49,21908.48405864409,1022.8137862210953,10144.094389484339,628.873832781511
skas_8,160.183706007,1..9,50,20,126,72,29110.01763957242,1294.2276342721966,8644.276815994108,687.0885068298624
skas_8,74.614357365,1..9,50,20,61,7,30052.42654325836,1466.936944588092,10877.858759571844,726.4341467206866
skas_8,82.243420713,1..9,50,20,63,9,20138.3737346978,1038.8372952439643,9010.230264069372,715.813163056071
skas_8,110.184561379,1..9,50,20,92,38,20897.621398813582,945.789316383151,10408.465617413593,676.9182899103488
skas_8,79.43957387,1..9,50,20,62,8,19748.976785069786,869.2493993947577,10399.88906875897,755.1149157638807
skas_8,147.226446745,1..9,50,20,123,69,13505.931355648456,678.3258047398665,9556.018186811594,715.5482069177352
skas_8,170.177794157,1..9,50,20,143,89,23059.665745837483,1127.0332126823625,8854.640258628999,666.7768138022526
skas_8,106.183238185,1..9,50,20,84,30,13703.13160966666,733.3182391338178,9613.758378702061,676.8012103538013
skas_8,138.69505046,1..9,50,20,110,56,27051.957175144555,1194.0845590030656,9646.69386374231,749.1019961652539
skas_8,74.611162983,1..9,50,20,66,12,20046.426131319076,1347.7691846572645,10074.381650214682,780.3289700771994
skas_8,104.987693138,1..9,50,20,90,36,16490.334237001298,844.6908279972445,11705.803413794461,767.7399590564769
skas_8,153.828120769,1..9,50,20,122,68,22572.099477003794,1060.4819221520486,8844.86345404998,713.9068087901925
skas_8,134.298389382,1..9,50,20,119,65,22297.94637027592,1091.3040726837814,10830.431293817837,717.4616635933168
skas_8,110.680865407,1..9,50,20,94,40,24856.846833060717,1227.7919129392226,9350.150819801234,688.1393670376996
skas_8,149.194926423,1..9,50,20,123,69,23275.63778802033,1025.675996935844,10926.424449302182,742.6552826225035
skas_8,82.641937384,1..9,50,20,68,14,17744.537796600198,881.0585761183854,9895.308639222689,714.5899980566203
skas_8,116.157414152,1..9,50,20,102,48,18964.292958927857,1093.5920832441404,9829.465787156789,648.154136849946
skas_8,83.234241099,1..9,50,20,66,12,16032.78865391745,779.3425108162428,10869.040492729548,767.3250090987474
skas_8,147.539597155,1..9,50,20,121,67,18308.278160955484,799.405708987529,9621.670252488415,815.2766765644753
skas_8,142.887711005,1..9,50,20,114,60,15405.598620394154,795.7158297509504,10226.268170596355,564.1224215959542
skas_8,115.806181673,1..9,50,20,102,48,28008.618843195894,1275.4495042819035,10785.433034125625,612.0047176725294
skas_8,125.561311383,1..9,50,20,108,54,26516.45249766983,1130.2241133764087,10484.394799878268,698.1954678422817
skas_8,166.536191264,1..9,50,20,139,85,20819.50641810199,899.9599539573176,9892.597122331075,653.53456230599
skas_8,204.077615581,1..9,50,20,168,114,24038.082944860507,1162.4217547886292,9350.150819801234,688.1393670376996
skas_8,172.126213754,1..9,50,20,141,87,18693.9034273487,1142.131464179461,9354.138990762873,679.9130641363522
skas_8,129.529966543,1..9,50,20,112,58,30230.251109431403,1294.162077732593,10170.443167077308,630.660182858965
skas_8,119.129935605,1..9,50,20,96,42,37349.224643164445,1478.4805661760488,10023.3776216013,760.3139791158886
skas_8,66.228038552,1..9,50,20,57,3,26079.953029731507,1050.0066598869314,11889.933910043212,717.670032445649
skas_8,150.999475944,1..9,50,20,123,69,20782.0516625004,1052.2494283470066,10697.47909042572,740.5966829216849
skas_8,74.561452927,1..9,50,20,59,5,21395.192842227538,1184.4004091592442,10845.748026007237,977.9266488745401
skas_8,86.529542695,1..9,50,20,71,17,24798.669835747634,1102.3879922847186,11686.794279512982,663.1676586026496
skas_8,88.228586562,1..9,50,20,77,23,24908.328851591115,1120.9258854091308,11377.314663780113,858.501021943604
skas_8,103.99497239,1..9,50,20,84,30,23460.89612955511,1006.7066158752867,9733.16857578348,605.3288042020713
skas_8,81.479461411,1..9,50,20,68,14,21174.272111405986,1063.6957629675674,9378.447696580173,678.3122402696124
skas_8,76.445997216,1..9,50,20,62,8,19885.71841848936,1036.5392388235418,9232.464395948004,726.030903312844
skas_8,162.626211572,1..9,50,20,138,84,23745.990838235095,1075.7472169261441,9562.460370441742,740.7271502357551
skas_8,95.824993936,1..9,50,20,86,32,24264.427023216424,1120.037456311894,8848.307128925311,663.2478662294344
skas_8,95.507116001,1..9,50,20,84,30,17583.66247518397,935.4034871782646,10357.26374229345,613.720648548085
skas_8,103.947043917,1..9,50,20,95,41,27239.915572254056,1195.1001072589104,9562.555319730674,671.7602128463872
skas_8,81.662120146,1..9,50,20,76,22,28409.747905401277,1397.8293345701882,10155.005469093314,664.8938462709438
skas_8,81.467522719,1..9,50,20,71,17,17407.08947113902,1022.5034501025306,9933.065853126809,698.1001394566642
skas_8,103.993618276,1..9,50,20,83,29,21562.180597124672,963.9101761965001,9273.677943167959,662.5085815187747
skas_8,132.380824129,1..9,50,20,110,56,22575.28932168686,1135.681006342726,10562.620918208559,765.47356008635
skas_8,317.813377223,1..9,50,20,266,212,15092.209575586661,771.9997453356078,9765.77336220488,795.0626345117862
skas_8,142.571966956,1..9,50,20,118,64,17258.966331303058,859.1961632984589,9963.292554203563,675.7740828460821
skas_8,180.533833541,1..9,50,20,153,99,32441.086717582315,1526.828424293864,10655.549282177893,683.000011889554
skas_8,74.429838433,1..9,50,20,62,8,19583.955057263225,1133.1079131341908,10476.975114002853,685.6002836361358
skas_8,87.555672095,1..9,50,20,70,16,15239.823798127423,717.6164786004138,10326.945125577224,690.0734045482753
skas_8,115.079578684,1..9,50,20,93,39,20438.193299959446,886.111876122026,10627.168943615085,660.2836251230623
skas_8,147.406018606,1..9,50,20,122,68,26249.562467927255,1181.9930882827605,8979.691340688594,628.6716458269328
skas_8,85.390090377,1..9,50,20,72,18,18844.179463542605,836.3928742928168,10095.707076192864,765.0629041991035
skas_8,76.575095934,1..9,50,20,62,8,17519.02606838736,988.8416425751599,9892.597122331075,653.53456230599
skas_8,97.392028806,1..9,50,20,82,28,18832.0,808.0,11205.880291964004,646.0922226334493
skas_8,75.098790838,1..9,50,20,66,12,23142.602589958053,897.8749113332052,10675.087949579998,541.8572402212584
skas_8,105.854076108,1..9,50,20,90,36,27111.13760998343,1370.6116005972494,10282.319837695033,749.1003857744056
skas_8,87.845957802,1..9,50,20,68,14,22362.76218770436,1094.0935548217421,8343.347157730888,609.2038707532666
skas_8,137.063977448,1..9,50,20,108,54,33275.1611092412,1365.956145717733,10515.931296017068,765.5978237494172
skas_8,95.909329898,1..9,50,20,75,21,22068.653958063027,975.2444002384245,8853.967130296132,645.63584707233
skas_8,133.839318907,1..9,50,20,105,51,25098.903888635126,1361.156410506262,10672.511410067871,684.0056013560397
skas_8,90.222506613,1..9,50,20,74,20,21771.647414045492,936.6645439014558,11367.793167975768,788.9023931811695
skas_8,143.649150391,1..9,50,20,119,65,17038.624208826335,1022.8428016450205,10547.475675558939,762.546959710765
skas_8,101.161415959,1..9,50,20,86,32,20227.797632386257,882.2135260397017,10663.437838518446,706.5146787081187
skas_8,106.85334944,1..9,50,20,86,32,30828.834957615487,1415.4730819912133,10835.665071655148,715.8970420963282
skas_8,70.618314303,1..9,50,20,60,6,35604.25937620788,1459.8416008130891,11200.175418999528,703.8493989364331
skas_8,76.96072918,1..9,50,20,62,8,20382.922150096892,1306.8976531201345,10487.281642015389,700.0400006705295
skas_8,73.158085203,1..9,50,20,57,3,21594.924722569715,937.3365336162027,9276.842210486488,663.7691243195258
skas_8,106.150979811,1..9,50,20,91,37,22468.530156561585,1191.3125330504427,10831.08374716807,838.6259625726715
skas_8,96.269693037,1..9,50,20,78,24,25740.734000395136,1440.6275634271128,9910.984480956564,653.1815954636609
skas_8,65.542588346,1..9,50,20,58,4,20434.1686061496,1094.3009679900922,9460.942484430934,719.8269753291518
skas_8,146.607095752,1..9,50,20,125,71,23328.342337953465,1117.3778189629704,10324.130366844209,667.0618799518695
skas_8,183.375511306,1..9,50,20,162,108,20550.2028706649,842.0539010153636,8673.687606797099,680.0355918524608
skas_8,108.603540541,1..9,50,20,95,41,27350.826968685014,1143.190376842919,9636.854872467866,739.0493337483076
skas_8,68.764676536,1..9,50,20,57,3,24307.830512111872,1215.3136016148226,10600.627897277664,847.9999792575285
skas_8,78.152622651,1..9,50,20,62,8,26801.451565823983,1291.1380186806425,10814.075667004843,793.0825061979382
skas_8,82.26765124,1..9,50,20,72,18,20788.166186452843,1199.5308158069593,10095.44727823392,660.4390014530976
skas_8,80.43242904,1..9,50,20,65,11,22292.481134315876,1306.6673802419957,9929.129800107228,724.179643251379
skas_8,83.139313016,1..9,50,20,75,21,17716.903604250667,1000.9137983350273,8343.347157730888,609.2038707532666
skas_8,123.638026779,1..9,50,20,105,51,16028.339105034982,772.1831391772516,10557.129371588919,839.1192991107954
skas_8,82.35155738,1..9,50,20,66,12,18760.936111775707,905.4085426184479,9643.78403963967,569.039123637863
skas_8,118.040880707,1..9,50,20,97,43,20133.753895520338,949.4130637625178,10666.497006569929,658.1130316932604
skas_8,86.665214413,1..9,50,20,76,22,22726.46086014989,1073.8180588962996,10995.41212202364,838.3501169890606
skas_8,185.367331947,1..9,50,20,151,97,23201.758725740576,1224.5097637124736,8677.14724127357,652.4755176707331
skas_8,130.16190739,1..9,50,20,105,51,16231.319203753428,715.017370784464,9232.464395948004,726.030903312844
skas_8,89.325894896,1..9,50,20,75,21,18444.645977270964,774.7222906705368,10367.063109357216,832.2251735065065
skas_8,79.675797146,1..9,50,20,63,9,19601.758245270874,1033.5208876640659,10700.811567061786,709.2655722258329
skas_8,74.061315869,1..9,50,20,60,6,29090.253929547478,1359.0181632276754,10565.363309843086,670.1580688320128
skas_8,66.712274137,1..9,50,20,59,5,22375.78872829362,1312.9169152677407,11188.06776299118,730.5004414688241
skas_8,91.218954196,1..9,50,20,75,21,24750.51674407294,1319.2331891293948,11160.66013159592,782.843555480886
