dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_8t,26.813551143,1..17,25,2,13,9,24999.588309703322,1283.4267376352582,10438.605175194796,647.946490574906
skas_8t,26.811088353,1..17,25,2,13,6,22249.09440797313,911.4017854672841,10256.780220035205,677.6507828800542
skas_8t,26.796259581,1..17,25,2,13,12,17717.388988613737,965.9945254354823,11063.418400454771,592.4609991505431
skas_8t,26.734494926,1..17,25,2,13,9,22557.951037506155,1079.2309756539087,11865.98659717048,812.4038745143738
skas_8t,26.868816412,1..17,25,2,13,6,19534.44777403312,893.7750097159836,9620.282463998241,594.5096345605275
skas_8t,26.780062359,1..17,25,2,13,12,23863.68338238401,1232.6326059520889,12033.08587499479,608.2391108714751
skas_8t,26.803842054,1..17,25,2,13,4,26119.576481577515,1272.6185592750273,8644.540080352179,617.0736381399256
skas_8t,26.772617292,1..17,25,2,13,7,28060.184563734114,1265.2089928177256,11272.793667085667,771.2091427716854
skas_8t,26.821625721,1..17,25,2,13,6,25642.25838419017,1051.468930905054,11532.449468562541,652.3581722157992
skas_8t,26.792898421,1..17,25,2,13,9,37750.39515746532,1482.7685255413803,11494.716994154662,790.6537782804013
skas_8t,26.838723919,1..17,25,2,13,12,23648.34317261363,1072.4937399872608,11489.65195661518,894.680163604966
skas_8t,26.839799287,1..17,25,2,13,9,21435.60077817584,1030.1025918685075,11272.764686481512,775.1840226370425
skas_8t,26.830138038,1..17,25,2,13,2,21241.44316488914,954.6186243147934,11784.668519872963,813.6213770062932
skas_8t,26.805837115,1..17,25,2,13,12,18591.97793938724,891.9736659610102,10316.598895005538,810.9737105189347
skas_8t,26.719895479,1..17,25,2,13,3,20598.15390818743,1221.5228230431087,11811.051246470863,940.3483807567713
skas_8t,26.768406735,1..17,25,2,13,10,18892.177594812856,907.4716838311011,10955.043145387368,800.0712522973968
skas_8t,26.793719929,1..17,25,2,13,12,15390.216194904855,791.971990773833,12351.935859421214,774.6018404733974
skas_8t,26.766524704,1..17,25,2,13,12,25780.39610306789,1049.142135623731,10877.564653954727,788.241631154294
skas_8t,26.752859483,1..17,25,2,13,13,28537.05287048761,1332.7283019421761,11119.029050933465,631.1463404125908
