dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_8s,0.522629283,1..9,50,20,89,35,27600.550813603877,1397.642629473722,7915.656477723723,535.3827157420714
skas_8s+,0.522629283,1..9,50,20,89,35,30302.529453157033,1638.3007354048586,10584.766739706998,744.2933532684186
skas_8s,1.04374964,1..9,50,20,187,133,26412.275515765225,1101.0102318744189,7799.868358158129,567.2894514294347
skas_8s+,1.04374964,1..9,50,20,187,133,31249.054761294385,1356.7722094698418,12279.233364754698,876.5254055714754
skas_8s,0.398652003,1..9,50,20,77,23,22213.8994026564,1143.3839646926222,8255.364542967747,617.068579600962
skas_8s+,0.398652003,1..9,50,20,77,23,26171.39564114297,1387.6677912294372,9025.248488473937,708.4065332370008
skas_8s,0.605838964,1..9,50,20,114,60,14688.408890153436,706.476551369623,8208.20458632746,603.0868154426813
skas_8s+,0.605838964,1..9,50,20,114,60,19796.6917116959,978.5021585408249,11880.426922170427,894.426708358467
skas_8s,0.456359229,1..9,50,20,90,36,23868.884667038055,1097.649357644356,9219.117340049139,678.6008886550201
skas_8s+,0.456359229,1..9,50,20,90,36,25959.239187642597,1179.0772652886546,12692.383447627206,878.3545640409197
skas_8s,0.450737466,1..9,50,20,85,31,20778.136783863123,1199.1882950765767,7631.159129544193,561.4489873267771
skas_8s+,0.450737466,1..9,50,20,85,31,24228.194229745382,1363.776100683748,10126.243456731037,700.8177180757664
skas_8s,0.373594988,1..9,50,20,68,14,14890.636248488407,789.29959853192,7951.177515864631,571.2801551032037
skas_8s+,0.373594988,1..9,50,20,68,14,17925.897592397774,993.4046240309979,10968.56735174433,783.6231208379972
skas_8s,0.282850844,1..9,50,20,57,3,15145.980729599572,690.8178886785029,8106.9937575248105,544.9476178555021
skas_8s+,0.282850844,1..9,50,20,57,3,17589.193296979047,819.546976025065,11203.688194739989,707.4541518940403
