dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_10s,0.509038476,1..11,50,20,63,8,28509.51298157832,1703.0574421563051,18791.932504317974,1228.6407066716513
skas_10s+,0.509038476,1..11,50,20,63,8,34832.761394834495,2044.5402658831495,23744.394034016135,1558.6945995975252
skas_10s,0.583404609,1..11,50,20,67,12,33534.82612109412,1717.5336910214971,17470.493846761572,1226.7728103473066
skas_10s+,0.583404609,1..11,50,20,67,12,38107.715091789614,1978.4233035484522,21528.348172072325,1537.4277571145449
skas_10s,0.900761779,1..11,50,20,114,59,35148.370778218035,2333.1196238932303,18598.201030116437,1247.8847364513977
skas_10s+,0.900761779,1..11,50,20,114,59,40970.2653298629,2718.593098831271,23724.650420450962,1575.6029628376998
skas_10s,0.670981399,1..11,50,20,86,31,31997.379422140468,1852.0072453061046,17829.968501958345,1304.916872585221
skas_10s+,0.670981399,1..11,50,20,86,31,34577.583387501436,2051.9306626080665,23539.03362578863,1673.8359932090148
skas_10s,0.447430342,1..11,50,20,59,4,33830.004635498335,1626.34334738223,18268.667292237653,1147.035140474508
skas_10s+,0.447430342,1..11,50,20,59,4,38863.19619943438,1929.1560631726122,26459.612592938814,1490.3194686224017
skas_10s,0.691382013,1..11,50,20,84,29,42632.9422106484,1947.9610711923076,18799.585958918862,1247.519006380382
skas_10s+,0.691382013,1..11,50,20,84,29,46702.489707221044,2161.2253536662884,25033.86290722243,1612.0978586412923
skas_10s,1.579326519,1..11,50,20,206,151,42048.93490102148,2024.374806255969,17816.15657789077,1243.3659996635665
skas_10s+,1.579326519,1..11,50,20,206,151,48505.93593847264,2375.5420518725828,21862.559728250213,1538.917406649343
skas_10s,0.476005831,1..11,50,20,63,8,32612.87083439455,1760.4069955817915,18344.44033916279,1115.1504396504686
skas_10s+,0.476005831,1..11,50,20,63,8,39483.089010756994,2095.9323206716053,24976.437395494548,1454.0650804641464
skas_10s,0.591852639,1..11,50,20,75,20,49988.881613939935,2437.3352334453907,17848.331164395746,1206.399939888212
skas_10s+,0.591852639,1..11,50,20,75,20,53639.84760468594,2679.2533118285537,23140.198339110655,1509.299326948504
skas_10s,0.953404917,1..11,50,20,120,65,26347.52900707277,1415.8206097729426,19345.845673501684,1228.4490513303974
skas_10s+,0.953404917,1..11,50,20,120,65,31830.78734926011,1771.163549319541,22196.095738971195,1388.8820569539505
skas_10s,0.491078744,1..11,50,20,66,11,40981.80977382649,2073.5251993871975,18377.18177765719,1204.6875421891896
skas_10s+,0.491078744,1..11,50,20,66,11,49367.61771823565,2493.1447644618543,24780.219095721917,1454.8723696309478
skas_10s,0.586082401,1..11,50,20,78,23,43041.99564361977,2359.130067965744,18619.42033395681,1284.1741158855123
skas_10s+,0.586082401,1..11,50,20,78,23,50932.56454438082,2761.6695100359866,23604.040185867536,1658.0547582654592
skas_10s,0.638920215,1..11,50,20,86,31,44761.39912394095,2055.3175967618295,17414.04373514607,1240.0022447362055
skas_10s+,0.638920215,1..11,50,20,86,31,49143.48125687412,2255.4376144582648,22602.057706872314,1634.3393962569085
skas_10s,0.77101946,1..11,50,20,95,40,27203.30038720674,1418.9297700107834,18001.76088490009,1223.8957038320798
skas_10s+,0.77101946,1..11,50,20,95,40,32592.368582043215,1723.346620446688,22936.41517960934,1520.499185317178
skas_10s,0.553631654,1..11,50,20,69,14,46357.9708951665,2894.494846186041,17758.333792021476,1192.5457675348084
skas_10s+,0.553631654,1..11,50,20,69,14,51400.12476915514,3197.963187077275,21681.829382376978,1468.8485165548477
skas_10s,0.837396143,1..11,50,20,106,51,27237.640065549425,1736.790105988476,17492.466171258748,1194.2775450018503
skas_10s+,0.837396143,1..11,50,20,106,51,32078.53050315867,2067.64229893774,20143.26364383726,1399.1136361823314
skas_10s,0.949418896,1..11,50,20,121,66,41996.27399329024,2259.836032273795,18216.388533505404,1291.6043535034673
skas_10s+,0.949418896,1..11,50,20,121,66,47552.95254859137,2551.3117375203415,24805.15223797889,1775.684498331353
