dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_10st,95.006173355,1..23,90,5,19,6,41610.11398987975,2179.4044202039827,16015.95680217046,1154.1482098709198
skas_10st+,95.006173355,1..23,90,5,19,6,47187.079274682044,2501.2857369301983,21707.15149340531,1575.639391350783
skas_10st,95.006489292,1..23,90,5,19,6,35510.56730872364,2012.432628742977,16840.929030163345,1209.0585222659474
skas_10st+,95.006489292,1..23,90,5,19,6,40703.23140959526,2298.8490476304924,23718.305317073737,1668.874904152609
skas_10st,95.007728499,1..23,90,5,19,4,40691.32146718633,2230.897205730813,18041.25818804928,1308.619432802236
skas_10st+,95.007728499,1..23,90,5,19,4,48521.470100097344,2671.0500462893447,24350.579947456652,1725.9542012593472
skas_10st,90.006391157,1..23,90,5,18,18,35624.720555746695,1776.5604307528229,15802.741183422148,1116.3815792599942
skas_10st+,90.006391157,1..23,90,5,18,18,47247.112493433044,2418.932883738022,23610.900995722426,1601.8539150878003
skas_10st,95.006164451,1..23,90,5,19,16,32133.328346059647,1768.5380759175953,16258.898711778911,1157.4271749897202
skas_10st+,95.006164451,1..23,90,5,19,16,35605.041489582436,1939.2513977580143,20519.45511396427,1476.8788029115033
skas_10st,95.006310422,1..23,90,5,19,3,31837.46383732039,1858.1841265770267,16894.25779139926,1128.4194835127687
skas_10st+,95.006310422,1..23,90,5,19,3,32893.54507679712,1955.0444260338759,24308.71783530578,1536.0876513466235
skas_10st,95.005346074,1..23,90,5,19,10,37319.73341996513,2130.0387216389304,15733.682443397982,1112.4694755149285
skas_10st+,95.005346074,1..23,90,5,19,10,41887.54145940746,2431.6319784586335,23310.00884257476,1591.0981560722419
skas_10st,95.005510258,1..23,90,5,19,12,38021.71816542205,1911.8527978755367,15531.321216115286,1063.4848640034859
skas_10st+,95.005510258,1..23,90,5,19,12,47935.45415898706,2451.6179400951346,22048.91666444904,1434.2175966599282
skas_10st,95.007026232,1..23,90,5,19,3,43970.8819012361,2375.1344323190337,18950.718211825213,1239.4614363795895
skas_10st+,95.007026232,1..23,90,5,19,3,53071.860214756285,2844.1421733363986,21812.11102684751,1359.439751288778
skas_10st,95.006512862,1..23,90,5,19,3,56465.66065506359,2749.394051743124,18204.518411668098,1276.2188566615032
skas_10st+,95.006512862,1..23,90,5,19,3,62846.82106915089,3107.512016397169,25206.37573318232,1696.8622704387285
skas_10st,95.007081209,1..23,90,5,19,12,34616.162652452615,2065.3757109241506,17362.558236627272,1166.7445847733331
skas_10st+,95.007081209,1..23,90,5,19,12,41437.73795662445,2398.533281137001,21638.346670475756,1443.2215565520935
skas_10st,95.005882571,1..23,90,5,19,6,42271.59801545336,2018.2591960515592,16111.83119143587,1121.3174670845874
skas_10st+,95.005882571,1..23,90,5,19,6,48468.160667568976,2323.177458263238,20412.47488934326,1441.2298345773486
skas_10st,90.005547215,1..23,90,5,18,18,27738.208365709812,1563.8694864094107,16237.409258555957,1150.6412089830053
skas_10st+,90.005547215,1..23,90,5,18,18,32128.460307806952,1865.5311955271711,23872.702233713382,1673.6512669766796
skas_10st,90.006514577,1..23,90,5,18,18,40682.37746058671,1993.0825671565267,15070.376705285937,1042.9976691663453
skas_10st+,90.006514577,1..23,90,5,18,18,47229.33434563181,2323.1594382171675,20665.93009515515,1412.6229295127384
skas_10st,95.006191177,1..23,90,5,19,6,31228.489138596924,1752.95355941901,17895.90634945242,1276.8853329488047
skas_10st+,95.006191177,1..23,90,5,19,6,39128.638164002,2222.5087295020244,22721.610522137453,1659.620302375814
skas_10st,90.006110257,1..23,90,5,18,18,43354.87773693067,2345.0304311690916,16471.23098404554,1142.4364593089867
skas_10st+,90.006110257,1..23,90,5,18,18,47106.6963669678,2556.1151887562723,20243.73017249737,1406.6788054010565
skas_10st,95.006789282,1..23,90,5,19,3,30571.27010959157,1628.0348422684942,16368.76555935851,1187.843770413712
skas_10st+,95.006789282,1..23,90,5,19,3,36910.18567417268,1980.010625288859,21343.299559303443,1574.2166993817855
skas_10st,95.0063853,1..23,90,5,19,6,38346.128874842274,1886.774522428918,18426.282279043076,1123.2909282031
skas_10st+,95.0063853,1..23,90,5,19,6,43286.957503917576,2187.0577942474374,22642.40208465539,1368.6688823844559
skas_10st,95.006187129,1..23,90,5,19,6,40947.49521955706,2349.268883034523,17629.52483296902,1212.9820360229382
skas_10st+,95.006187129,1..23,90,5,19,6,46857.88376285919,2673.1943068692885,22216.63254226241,1496.8184597702364
skas_10st,95.006382745,1..23,90,5,19,4,48167.121781682064,2901.672183819418,16973.784885806876,1230.8587539998707
skas_10st+,95.006382745,1..23,90,5,19,4,53354.195539428285,3215.434797935148,21092.602248976393,1556.3822594973797
skas_10st,95.005977892,1..23,90,5,19,5,41984.90541801716,2433.6103576424684,16865.478377388223,1229.0261305792221
skas_10st+,95.005977892,1..23,90,5,19,5,47722.1600774788,2769.2656596579545,21715.331763211492,1597.0076837964307
