dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_20s,3.213180587,1..5,50,20,178,128,156061.8036231879,8505.435587418659,49926.44568393298,3226.7492284340456
skas_20s+,3.213180587,1..5,50,20,178,128,169898.62415443547,9351.913999713,62524.01792017488,3989.50109652464
skas_20s,1.696020694,1..5,50,20,88,38,152908.16536303825,8123.577858442046,40748.62312446246,2359.5702661472856
skas_20s+,1.696020694,1..5,50,20,88,38,170513.48715354563,9020.220343067951,56974.23596363772,3236.7446849740313
skas_20s,1.224114793,1..5,50,20,61,11,170798.66473760866,9808.613249950948,46906.508614853316,2766.597223851189
skas_20s+,1.224114793,1..5,50,20,61,11,183586.28563048982,10553.859128708784,56938.550915324515,3309.7300292630234
skas_20s,1.239294653,1..5,50,20,62,12,127843.43818982388,6796.589282852861,45609.37636477664,2667.623937195138
skas_20s+,1.239294653,1..5,50,20,62,12,149909.40426486655,8075.987700068931,51999.957493178605,3101.991049275346
skas_20s,1.54375735,1..5,50,20,76,26,142421.72135498933,6746.068344783595,46678.56079177247,2698.5736626629723
skas_20s+,1.54375735,1..5,50,20,76,26,158161.82236261596,7597.909309979992,58724.30019163499,3363.7687221147944
skas_20s,3.313397332,1..5,50,20,179,129,96991.41521292296,5521.424739162554,39806.51132762419,2509.834365374625
skas_20s+,3.313397332,1..5,50,20,179,129,112045.9894622507,6403.284474953357,50554.87601215938,3224.6971121764795
skas_20s,2.156766624,1..5,50,20,121,71,120763.17260699043,6423.157475699618,52957.67216785891,3072.258198473357
skas_20s+,2.156766624,1..5,50,20,121,71,135993.50148219193,7352.621372135818,68491.58226888321,3809.217071388081
skas_20s,2.61941052,1..5,50,20,154,104,193814.01582483813,10552.265973862899,48719.43250034346,3331.4067771906657
skas_20s+,2.61941052,1..5,50,20,154,104,201643.17804921896,10951.458987046983,59571.617745012845,3893.1437202609823
skas_20s,2.236526608,1..5,50,20,127,77,135790.02160521998,7165.570381234099,42545.49615191338,2739.206911704203
skas_20s+,2.236526608,1..5,50,20,127,77,151278.9826931791,8054.974058663896,52542.089081318576,3337.0214335233345
skas_20s,3.310194246,1..5,50,20,175,125,130024.27079756002,7115.286983707787,40385.20742535737,2550.0162070842607
skas_20s+,3.310194246,1..5,50,20,175,125,142605.36851935342,7945.318101378143,54383.9559384882,3394.780580272759
skas_20s,2.685460564,1..5,50,20,151,101,211469.7434092264,10383.512902663631,48906.27530146486,3317.2657987075672
skas_20s+,2.685460564,1..5,50,20,151,101,226962.9794125226,11202.967308363926,64811.26729253986,4278.8208351328985
skas_20s,2.247074781,1..5,50,20,127,77,138619.62031455594,7117.964638072426,39410.420967377955,2581.279551006348
skas_20s+,2.247074781,1..5,50,20,127,77,147420.75436034732,7614.19431238981,52046.935851696864,3372.2809688422926
skas_20s,1.33811086,1..5,50,20,77,27,120803.97069155294,6529.235487674041,40991.380869998095,2553.19141856168
skas_20s+,1.33811086,1..5,50,20,77,27,137671.13143169798,7544.6914280187275,53431.051576215235,3456.5883818328875
skas_20s,1.21062779,1..5,50,20,67,17,192743.18935271224,10683.61865058411,46052.76737915035,2622.7433010954583
skas_20s+,1.21062779,1..5,50,20,67,17,206840.1818272339,11465.893782846559,61432.58000623086,3475.0829403311486
skas_20s,1.562774591,1..5,50,20,85,35,136718.85632976447,7121.727878289668,41477.24053002516,2687.0267148814155
skas_20s+,1.562774591,1..5,50,20,85,35,163123.41834008627,8644.267646588687,55826.759758363245,3468.1126715189325
skas_20s,1.757739805,1..5,50,20,100,50,124152.65293821917,6782.577935725539,40363.298843122655,2604.4507840184115
skas_20s+,1.757739805,1..5,50,20,100,50,127679.75470660036,6998.922980313548,55390.71631745627,3421.368169841638
skas_20s,1.086055915,1..5,50,20,61,11,173662.3383506837,8102.15011731633,48765.66599596209,2846.8227093494365
skas_20s+,1.086055915,1..5,50,20,61,11,187029.86541911913,8694.712047112684,60305.41289482257,3570.7379128969383
skas_20s,1.089392919,1..5,50,20,61,11,212270.7298855524,10914.732471430212,52093.600536478545,3047.233628630584
skas_20s+,1.089392919,1..5,50,20,61,11,229087.76568183076,11996.43720583923,63599.505947628546,3640.9768866318755
skas_20s,1.872403407,1..5,50,20,97,47,130112.41321910154,7380.877416895031,43530.16785536362,2462.1743031568003
skas_20s+,1.872403407,1..5,50,20,97,47,144366.69103391407,8309.768739502457,54706.829636540555,3051.4381359531176
skas_20s,2.232409548,1..5,50,20,127,77,175065.19497785042,8915.879310416361,45044.50752196068,2889.5985748460766
skas_20s+,2.232409548,1..5,50,20,127,77,187779.96425530617,9684.10330828236,57146.58797224823,3729.1221262081626
skas_20s,1.275340147,1..5,50,20,79,29,153300.46802194163,8334.25845112685,46223.965474599456,2984.5629763421107
skas_20s+,1.275340147,1..5,50,20,79,29,159439.0914582448,8725.945126760489,54901.01510017502,3478.49891994575
skas_20s,2.900972096,1..5,50,20,154,104,123135.69748878367,6577.343451567052,44201.42883365477,2592.281344136731
