dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_10t,92.524288992,1..23,90,5,18,5,42708.857410699886,2142.600873316219,24197.52171081266,1505.2782178894556
skas_10t,92.608533499,1..23,90,5,18,10,39796.17161597437,2158.132500643833,23775.392893019372,1564.975633231195
skas_10t,92.448470109,1..23,90,5,18,4,35214.68279244782,2150.8338547953012,22557.70604282629,1320.6372144824365
skas_10t,92.330614135,1..23,90,5,18,11,41102.27501959432,2481.2481021034264,21766.63254262394,1317.764779153691
skas_10t,92.66298084,1..23,90,5,18,6,45777.73027028932,2490.8733357777974,21171.974872019993,1416.5526474215217
skas_10t,92.563903893,1..23,90,5,18,4,54026.65377454601,2845.0376032907375,25904.177360712078,1473.2905001573174
skas_10t,92.596338808,1..23,90,5,18,8,57300.62386651906,2940.4699572302366,23085.373829182463,1516.697471562744
skas_10t,92.402632003,1..23,90,5,18,17,39985.5395418883,2273.5739902960786,22532.031153108434,1510.5971028138474
skas_10t,92.510878153,1..23,90,5,18,3,43784.88726084341,2435.3095227039335,22104.902673408724,1353.7199312135288
skas_10t,92.512410954,1..23,90,5,18,15,50588.26806305478,2675.949836215323,23543.39271803487,1576.257426413957
skas_10t,92.448584401,1..23,90,5,18,17,51844.48880422827,2747.497754537771,23614.02067890288,1469.0597060244259
skas_10t,92.544996541,1..23,90,5,18,5,43120.792325704235,2241.0646544333413,22694.455521274514,1439.4651090577995
skas_10t,92.213724641,1..23,90,5,18,3,38993.250545603885,1841.5843749536282,25748.572897987735,1575.9630387759905
skas_10t,92.566179373,1..23,90,5,18,9,42777.38749508138,2287.930948398333,22672.29190782899,1568.4940734570496
skas_10t,92.61483828,1..23,90,5,18,14,39233.47316592037,2055.0540985567204,22484.218795740904,1597.2623275316523
skas_10t,92.670556684,1..23,90,5,18,3,28508.34823012113,1657.454246612795,24175.708588909565,1575.7246879467396
skas_10t,92.537079697,1..23,90,5,18,13,43035.83362149993,2068.792483397503,23393.606403849175,1386.9820174835986
skas_10t,92.703071955,1..23,90,5,18,8,38439.05020950154,2048.2158752203723,24451.544748700304,1589.8749363381658
skas_10t,92.440624164,1..23,90,5,18,17,38776.260082015775,2194.5185143088333,23919.35848012295,1531.8849890319336
skas_10t,92.657411404,1..23,90,5,18,8,49650.79292201766,2822.106819173559,23535.779066135336,1644.8922855091187
skas_10t,92.522061386,1..23,90,5,18,4,54900.270033547204,2771.156464511997,24245.330584651052,1495.8129129255583
skas_10t,92.487006911,1..23,90,5,18,11,44098.92185575958,2216.3746150233314,21461.43678769143,1431.395461904512
skas_10t,92.369728171,1..23,90,5,18,18,46889.95769709259,2241.7143746632823,20956.96813427673,1359.1073688099632
skas_10t,92.552323998,1..23,90,5,18,8,46979.78062324424,2537.0541590183775,22537.436823245014,1510.385191767105
skas_10t,92.640579897,1..23,90,5,18,10,35669.64397214881,1822.831423159731,23399.232099988705,1426.4368533752495
