dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_8st,26.003936633,1..17,25,2,13,6,19384.48204936546,980.4077420252454,7790.114343293255,563.940250355262
skas_8st+,26.003936633,1..17,25,2,13,6,23471.636335843832,1195.2782587831068,9904.618912694417,690.7654067059519
skas_8st,26.003490975,1..17,25,2,13,10,19148.426008494607,972.599160573047,8481.068110140652,613.5661110976105
skas_8st+,26.003490975,1..17,25,2,13,10,23420.69124302197,1151.8758539773,12138.819559203746,796.1041326953534
skas_8st,26.010227113,1..17,25,2,13,9,23768.011902091013,1017.3638552569215,8254.030159732301,644.9900071390335
skas_8st+,26.010227113,1..17,25,2,13,9,26226.95586416484,1141.904643920519,10443.93216308198,749.1200185347616
skas_8st,26.003385617,1..17,25,2,13,9,19618.077012040925,937.22079891863,7100.4145819492305,520.3850714848701
skas_8st+,26.003385617,1..17,25,2,13,9,24636.0,1196.0,9590.377946445027,670.9033730123202
skas_8st,26.004324671,1..17,25,2,13,4,12996.071752338228,608.9495567483694,8481.068110140652,613.5661110976105
skas_8st+,26.004324671,1..17,25,2,13,4,15753.460559750543,759.1974185250247,12138.819559203746,796.1041326953534
skas_8st,26.003637202,1..17,25,2,13,3,26883.323965721473,1220.0315836232405,8450.001610846943,614.3963306744458
skas_8st+,26.003637202,1..17,25,2,13,3,28765.32494864221,1338.7790345495498,10320.768287269433,683.9439889816252
skas_8st,26.003412597,1..17,25,2,13,13,16265.045483120608,801.848308681969,7818.462944056138,606.9001006882165
skas_8st+,26.003412597,1..17,25,2,13,13,17536.304430393353,873.1850602977064,9715.46526566632,747.5211606574771
skas_8st,26.003679455,1..17,25,2,13,3,13850.992599085352,623.7831446931136,8241.499476096187,643.3959735251481
skas_8st+,26.003679455,1..17,25,2,13,3,18855.752192977438,842.75730229947,11352.55441899519,868.2883307542365
skas_8st,26.004668932,1..17,25,2,13,6,16631.043274129748,727.9105876861706,8429.363750621787,682.2226773526945
skas_8st+,26.004668932,1..17,25,2,13,6,21402.07057579425,927.495097567964,10842.808082344234,771.0530648769611
skas_8st,26.003278413,1..17,25,2,13,10,16499.66218034912,716.3299654335959,7846.993890499829,576.9151909673966
skas_8st+,26.003278413,1..17,25,2,13,10,20701.201710920264,905.738072095599,9904.875910675859,789.592363933712
skas_8st,26.004054964,1..17,25,2,13,3,15733.981152565219,838.6635869008851,8146.1127966314325,585.5598205295155
skas_8st+,26.004054964,1..17,25,2,13,3,19728.55552637555,1035.371054304423,11059.734232246714,770.1908151595153
skas_8st,26.0040584,1..17,25,2,13,3,18111.83058532001,755.9707504620284,7940.31399151363,593.3486673636511
skas_8st+,26.0040584,1..17,25,2,13,3,20688.806142841695,892.3702859206837,11029.690240299075,745.6006895560649
skas_8st,26.004252608,1..17,25,2,13,6,19378.258116256973,1053.6745614596775,8786.054458251914,609.5718911832756
skas_8st+,26.004252608,1..17,25,2,13,6,22424.701608287287,1266.1114386560732,11306.430106985286,759.8109543099625
skas_8st,26.003944029,1..17,25,2,13,6,15326.971617664047,673.1174535866878,7130.569661510105,543.8654558477641
skas_8st+,26.003944029,1..17,25,2,13,6,18201.85615954655,837.655826127509,9924.045394529809,742.9667722970261
skas_8st,26.003854673,1..17,25,2,13,3,20480.00125885267,1070.7018894886219,7288.423602112435,545.4008075881097
skas_8st+,26.003854673,1..17,25,2,13,3,24482.95330927705,1315.498940681058,8343.347157730888,609.2038707532666
skas_8st,26.004062755,1..17,25,2,13,12,24407.116679545758,1189.8955469507123,7231.907756905837,546.2293112299517
skas_8st+,26.004062755,1..17,25,2,13,12,26777.68836968663,1329.9177382113471,9593.600459024467,720.8113565692644
skas_8st,26.004077156,1..17,25,2,13,3,24384.08309151787,1309.2758911326632,8674.687086620012,617.6284455618961
skas_8st+,26.004077156,1..17,25,2,13,3,28130.72997959328,1560.0788322578474,11759.755530141152,778.7808855394053
skas_8st,26.004271049,1..17,25,2,13,13,16951.3404806013,744.4091129558778,6855.368721717214,530.5967257663456
skas_8st+,26.004271049,1..17,25,2,13,13,18490.321637663063,812.304943802001,9714.289696120712,759.7514827219406
skas_8st,26.004385395,1..17,25,2,13,3,12897.003942812702,699.936371025051,7939.177293301436,571.1593438228945
skas_8st+,26.004385395,1..17,25,2,13,3,14569.621417888111,815.0043822769771,9668.141296543572,672.7932823621231
skas_8st,26.003670789,1..17,25,2,13,3,13215.428475992965,661.4127260949821,8377.78737449485,646.6672376881484
skas_8st+,26.003670789,1..17,25,2,13,3,18732.407170554874,960.3677719289478,12232.99820387517,874.1045079338908
skas_8st,26.003177605,1..17,25,2,13,5,20668.861777795446,929.3438440470374,7548.035344622194,561.8788022485696
skas_8st+,26.003177605,1..17,25,2,13,5,21217.310087185546,975.8611600900706,10549.122482711298,771.5130864524011
skas_8st,26.003863245,1..17,25,2,13,9,18764.957850463034,985.0490477470644,8442.324441598706,683.7273227872797
skas_8st+,26.003863245,1..17,25,2,13,9,22442.127658364152,1212.5362701880454,9755.580215162914,801.4451656238781
skas_8st,26.003671977,1..17,25,2,13,3,20258.448791219977,1103.2326711878568,8072.944149886377,563.5218055856468
skas_8st+,26.003671977,1..17,25,2,13,3,23447.18232028725,1257.4565489709319,12012.250052740468,795.0227029516394
skas_8st,26.004243358,1..17,25,2,13,6,17243.864628765223,761.0192099821091,9280.539177986162,636.3204320926321
skas_8st+,26.004243358,1..17,25,2,13,6,23510.745878301444,1061.5237254037827,10968.572618628723,829.4753274019483
skas_8st,26.003613383,1..17,25,2,13,7,25742.68259509773,1337.9727585074647,7904.081743955603,576.4268855246444
skas_8st+,26.003613383,1..17,25,2,13,7,28900.51508967702,1514.0520509866276,10954.262735681892,722.5109814271148
skas_8st,26.003810789,1..17,25,2,13,3,24970.54802584821,921.5315246245302,7288.423602112435,545.4008075881097
skas_8st+,26.003810789,1..17,25,2,13,3,28615.472097191185,1083.596124547988,8343.347157730888,609.2038707532666
skas_8st,26.003601294,1..17,25,2,13,6,12802.359934320391,729.5573877219248,7298.107022950605,566.4089365164091
skas_8st+,26.003601294,1..17,25,2,13,6,18386.662188156806,1040.6218463929677,9599.643237688426,716.7430613873073
skas_8st,26.004532806,1..17,25,2,13,6,22234.029503203587,1085.5654178624616,8139.85787347405,646.8133776537434
skas_8st+,26.004532806,1..17,25,2,13,6,26816.348227594015,1327.5672349386098,10584.34366382979,827.8042755717372
skas_8st,26.003088816,1..17,25,2,13,9,17827.982504137755,779.358865308149,7433.41951495474,603.4088041970509
skas_8st+,26.003088816,1..17,25,2,13,9,19827.68839735545,870.615943838883,9633.0,747.0
skas_8st,26.005172584,1..17,25,2,13,6,15664.679614190465,739.4809981861063,8054.052447681952,616.8751320300962
skas_8st+,26.005172584,1..17,25,2,13,6,19409.104934014387,919.3941336766404,11860.610791150153,874.070444442025
skas_8st,26.004618588,1..17,25,2,13,3,15439.915602123665,678.6654528634729,7247.97057020161,560.1157462833329
skas_8st+,26.004618588,1..17,25,2,13,3,17244.00833347876,755.2269222573663,9623.153629753535,724.1740662898458
skas_8st,26.004020601,1..17,25,2,13,12,21929.5704370241,989.1402200821403,7938.256173346626,577.6806749462365
skas_8st+,26.004020601,1..17,25,2,13,12,23598.71581833925,1099.1307504300303,11308.853724421058,724.8628176372816
skas_8st,26.003614205,1..17,25,2,13,12,15379.454951278869,709.5534625583206,7742.055198835738,589.6591102832772
