dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_20,2085.441344268,1..5,50,20,106,56,133515.44319976645,7754.8709726029265,50437.6390779501,2834.1703071500438
skas_20,4669.818728198,1..5,50,20,211,161,130555.56267238125,6978.003988698938,46655.0560151068,3053.1332458971838
skas_20,3460.832630079,1..5,50,20,163,113,198510.0077980716,10221.140961851937,57283.149996643915,3517.676897325838
skas_20,2008.751509752,1..5,50,20,94,44,187118.63893232867,9533.656022880583,55890.84823314703,3130.959638954407
skas_20,2716.934320716,1..5,50,20,142,92,138208.376272993,7318.853108490239,51486.08350759418,3049.4990159411445
skas_20,1946.791434448,1..5,50,20,91,41,183986.00572848858,9899.712613176842,59817.44608080403,3325.3042054082753
skas_20,1917.766497571,1..5,50,20,91,41,169688.19652653986,8764.909355350357,62014.17894790306,3693.8540367350947
skas_20,1279.6782919,1..5,50,20,58,8,222035.19864751282,10833.3342354157,80281.29790292069,4491.46514016448
skas_20,1609.859605694,1..5,50,20,73,23,247136.6416876826,12323.42358360631,53116.55054065887,3111.8595312664193
skas_20,2828.756334818,1..5,50,20,136,86,186394.06349377398,9807.617149950605,68568.13307868208,3709.9186755319774
skas_20,2641.888729673,1..5,50,20,130,80,133707.26285285145,7967.716245554441,55688.66769784422,3250.549129169725
skas_20,1775.234780967,1..5,50,20,85,35,161109.44969688545,8251.413508051188,62010.258652756784,3710.9258793635245
skas_20,1857.432887893,1..5,50,20,94,44,145026.0651476862,7866.100475424077,62435.10904787795,3626.7897564963687
skas_20,2482.262634472,1..5,50,20,112,62,207877.8108769091,11678.097835261178,59572.37078313908,3780.120366982785
skas_20,1371.036488106,1..5,50,20,67,17,148634.96888190144,7992.233135996906,69004.55028438565,4402.145788482888
skas_20,1226.636223813,1..5,50,20,58,8,114790.47315307413,6435.563041203108,58560.26110765124,3242.190527327879
skas_20,1780.392122749,1..5,50,20,73,23,176399.31418969255,8822.931500942826,58858.98205720149,2924.807000417022
skas_20,3054.336528911,1..5,50,20,142,92,172033.42100904242,8667.13943673557,53825.72181731117,3338.961183722991
skas_20,1336.103331166,1..5,50,20,61,11,123675.63694772992,7395.154826682004,49999.15881747825,3132.387201478605
skas_20,4243.683449785,1..5,50,20,196,146,132960.79241610607,6601.5078118828815,57623.69063305535,3364.015170549418
skas_20,2431.218555201,1..5,50,20,113,63,194926.89008291654,10297.862455390225,64320.60024947825,3591.100960750923
skas_20,2890.226364527,1..5,50,20,133,83,207116.53844757157,11063.821714568425,56839.516680734356,3118.3882574356003
skas_20,2217.525772863,1..5,50,20,103,53,193026.8369504813,10145.314754909987,56340.2117736046,3504.3137672871076
skas_20,2295.815963517,1..5,50,20,106,56,155923.040230032,7967.40787742379,51856.93872949799,2875.1473291628845
skas_20,3194.687873393,1..5,50,20,146,96,147869.98552456143,8075.763633181763,49280.7103169035,2819.5024362848503
skas_20,2149.937948302,1..5,50,20,106,56,209119.24699230274,10659.288145997005,63638.09365046659,3910.7302220755105
skas_20,4330.039768564,1..5,50,20,208,158,183536.51639087303,9441.984798232294,53930.552902755306,3154.2708687412373
skas_20,1746.105516033,1..5,50,20,82,32,147880.73370089792,9022.886335252253,66552.0911200128,4170.154370462618
skas_20,1151.788554678,1..5,50,20,55,5,224934.82504367628,11341.609514533713,57530.84606990492,3733.6156887773586
skas_20,2379.609696011,1..5,50,20,100,50,190854.47795027128,10180.618955621356,56387.0356048016,3318.430102355527
skas_20,2990.192369904,1..5,50,20,136,86,141001.31666234793,7825.4899796381505,56021.387628697055,3344.2475850529445
skas_20,3545.553238355,1..5,50,20,166,116,176724.17931554458,9718.359177219803,52707.870865570534,3033.0172378924303
skas_20,1607.806900667,1..5,50,20,73,23,161138.91655958258,8491.53338174921,67281.14945500802,3987.4046495882944
skas_20,2816.910139952,1..5,50,20,139,89,158787.1400319165,8014.131801530797,55705.561624529175,3545.762147461389
skas_20,2353.19425368,1..5,50,20,113,63,135143.01592941818,7498.556395827783,54891.360162804354,3242.1321622611713
skas_20,1199.530399028,1..5,50,20,55,5,138028.597582033,7971.181285798813,63194.852523280424,3392.3464821935618
skas_20,2155.596994222,1..5,50,20,100,50,157667.6603963316,8635.577400773034,52047.749470228526,3324.928736407321
skas_20,3575.524233441,1..5,50,20,172,122,234260.8635495171,11179.535252010674,55087.19153926683,3223.134738734929
skas_20,2926.026383537,1..5,50,20,127,77,183011.0683603985,8844.110967877245,50754.29638445661,3233.91425019008
skas_20,3715.577030786,1..5,50,20,172,122,146704.54515524817,6933.790669742756,46988.237546573495,2685.7335972759897
skas_20,2202.569049603,1..5,50,20,100,50,162604.39610332268,8262.172443944264,58179.28956798578,3491.657203226995
skas_20,2792.675142418,1..5,50,20,139,89,123563.26551947018,6710.150943158293,50520.73967568835,3179.0361253508395
skas_20,1935.122363075,1..5,50,20,97,47,207392.7323384381,10825.020793039443,49085.38162317898,3063.810090609623
skas_20,2427.446395112,1..5,50,20,109,59,152628.87948527967,7800.702059090405,59490.58640271065,3676.4794541261876
skas_20,1389.175525797,1..5,50,20,64,14,188107.2749060849,9906.161889883515,62463.03481373397,3859.0802833648427
skas_20,1223.198290306,1..5,50,20,55,5,175102.83696379256,9242.68874181899,65390.920396851594,3547.947340112008
skas_20,1952.079860266,1..5,50,20,88,38,113425.69040450064,6048.167050638874,57149.26529405347,3741.746375015223
skas_20,2499.143848233,1..5,50,20,119,69,205861.7406009983,10350.412091026536,54518.81596475397,3115.7502312127576
skas_20,2636.043234106,1..5,50,20,124,74,215568.69371862707,11585.95759928976,56837.36835242047,3361.3336712601226
skas_20,1678.634416476,1..5,50,20,73,23,191388.85662948198,10080.72584457834,61619.505768131625,4053.0117377237516
skas_20,2477.365492589,1..5,50,20,118,68,164335.68356421622,9245.403714275622,58589.750072991024,3427.637841291368
skas_20,1922.89074572,1..5,50,20,83,33,159224.36042700155,8045.839213341948,63773.28926920079,3343.4331553405336
skas_20,2381.382508206,1..5,50,20,112,62,181446.80506939878,9369.86717836275,53642.703828233476,3012.0871207762034
skas_20,1492.361747964,1..5,50,20,73,23,182384.81179491774,10579.709122096792,58675.94661904587,3552.0644381931093
skas_20,1604.588736259,1..5,50,20,73,23,176459.77920565393,9096.194289546023,51997.485476061556,3023.0055028650104
skas_20,1445.212811887,1..5,50,20,67,17,198839.45772974344,10552.115878520774,60620.51168196456,3216.549938332544
skas_20,3101.893734752,1..5,50,20,142,92,219827.87925286885,11056.813071023105,57471.193515778185,3696.9284680364267
skas_20,2712.794841679,1..5,50,20,121,71,140140.29684548933,8129.9348317843,54231.72695541441,3577.976618826305
skas_20,2768.723159779,1..5,50,20,137,87,171549.29658667874,8855.93340844228,59401.20300745051,3455.989955312745
skas_20,2807.043796883,1..5,50,20,136,86,191379.4857381843,10837.077138578465,52381.710174430336,2959.823091404916
skas_20,1743.500189032,1..5,50,20,76,26,149862.03976613114,7954.839071519472,61686.08495105383,3167.304538019913
skas_20,1356.589375705,1..5,50,20,61,11,232734.20697002334,11970.52676329557,90393.57670672308,5459.561725083524
skas_20,1298.202260974,1..5,50,20,64,14,130326.45229851159,6484.704370778313,63429.39008288555,3637.605326968346
skas_20,1871.851691611,1..5,50,20,94,44,187726.67168073123,10606.84780365005,58487.258700826715,3657.353492528253
skas_20,3043.215129207,1..5,50,20,142,92,177664.3027918162,9727.266195173126,56483.62981504266,3117.4754392897553
skas_20,1299.215912286,1..5,50,20,61,11,132248.62120670849,7212.904173351458,64843.35685450276,3597.773185950805
skas_20,1676.078376049,1..5,50,20,76,26,142291.1188995987,7752.041787526338,56743.533743102314,3399.028941439935
skas_20,2397.521631293,1..5,50,20,109,59,168366.560939743,10126.111539309577,59997.067693927536,3450.5087060562923
skas_20,1961.18941172,1..5,50,20,91,41,116206.25172666006,6606.038633538195,72776.27871429577,4399.3176061186205
skas_20,2285.331685301,1..5,50,20,106,56,221555.92465625654,12243.335982471255,57987.859551215915,3300.5164885268223
skas_20,2711.198326581,1..5,50,20,130,80,239992.0338587782,11484.562312291822,54985.24370812657,2910.583502120441
skas_20,1784.268297298,1..5,50,20,70,20,141480.60420236475,7363.350889635594,66939.6842842809,4081.303541015583
skas_20,2227.067044718,1..5,50,20,107,57,182404.73872748011,9615.012272075477,57209.78107037598,3506.053247355739
skas_20,3684.423154165,1..5,50,20,172,122,211721.17611951983,11808.19401235632,56641.31550413154,3455.5003225336127
skas_20,2950.924639782,1..5,50,20,139,89,164322.7467014647,9124.802688861417,66235.9987598822,4046.2157301516218
skas_20,2770.200834875,1..5,50,20,130,80,184797.7692277647,9334.196732578726,55462.213627351965,3141.6252973533296
skas_20,3368.980756915,1..5,50,20,160,110,207113.237609689,10104.662423958189,52043.579704597585,3244.5772958443413
skas_20,2913.211896067,1..5,50,20,139,89,147010.54303564716,8113.061802638968,53830.10188037531,3266.7243059015505
skas_20,2487.171875871,1..5,50,20,122,72,223684.715860745,12063.216957074135,56166.60819523609,3639.312046147542
skas_20,1352.845894416,1..5,50,20,61,11,147055.61665690012,7608.812536042228,76500.80230059332,4400.874016113887
skas_20,1565.601174517,1..5,50,20,73,23,170172.24418123916,8443.91846415565,57369.05278776982,3577.270513899754
skas_20,3239.227874006,1..5,50,20,162,112,221469.72890109234,11135.029965814501,49270.383195430164,3286.656535202175
skas_20,1385.077431408,1..5,50,20,61,11,175668.6308728688,9381.921393013059,48958.55297752025,3040.343702927458
skas_20,3788.447425264,1..5,50,20,163,113,195102.8092940213,9489.092284377262,53117.76764466625,3128.036102940606
skas_20,1585.589696747,1..5,50,20,73,23,208972.96719567548,10819.595533068063,64189.57281841119,3741.2326549916957
skas_20,1832.529177123,1..5,50,20,82,32,167212.41872211435,8651.983680869576,65821.81085437245,3990.687539944321
skas_20,3237.918049371,1..5,50,20,160,110,155897.7329261459,7357.4012834340865,51363.434840358896,3046.6958580204446
skas_20,1795.547762037,1..5,50,20,82,32,180873.38800088418,9145.299892448696,57289.27684422286,3289.335280346119
skas_20,2516.630702689,1..5,50,20,109,59,181063.30355441791,9232.461761799665,52350.61662424136,3221.008108263058
skas_20,3144.375131994,1..5,50,20,155,105,121078.12827786956,6567.608518718312,57246.90046165919,3346.490042100661
skas_20,1544.047674675,1..5,50,20,75,25,173195.76268528422,8628.115998894109,53382.853118746556,3434.306918342166
skas_20,1716.985733805,1..5,50,20,79,29,198264.97978357066,10785.916004520424,50447.38087298147,3072.3250799972275
skas_20,2908.414082246,1..5,50,20,133,83,178206.74238729695,9381.354922403118,55612.491465396495,3229.3399073585815
skas_20,1511.769550978,1..5,50,20,73,23,144681.76621422387,8295.49924850567,47462.9757945645,2945.6151129435707
skas_20,2861.423629967,1..5,50,20,139,89,115619.777839961,6591.757841112623,55367.412656951194,3394.156830583769
