dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12f,390.864,1..23,50,20,128,59,68900.9246135325,2590.747808050496,46956.04555952089,1853.748779493374
skas_12f,431.209,1..23,50,20,150,81,94773.49338880506,3606.6866874538646,46271.32860845307,1873.3026653453178
skas_12f,277.415,1..23,50,20,97,28,97188.93080643132,3554.8372144706964,46632.069461849525,1904.4065840429178
skas_12f,349.849,1..23,50,20,117,48,96137.29172547461,3579.2886867122825,46260.51824968627,1933.2011488737282
skas_12f,395.28,1..23,50,20,123,54,71455.61971550269,2559.076820472235,49619.033160312545,1980.4463797941366
skas_12f,515.553,1..23,50,20,173,104,66043.13292847772,2396.825404162155,47954.32295856722,1911.6272071921856
skas_12f,242.479,1..23,50,20,82,13,91827.35801259657,3309.1754563763525,48224.70702910107,1976.5618329752915
skas_12f,383.535,1..23,50,20,132,63,67869.66872406515,2668.033642715903,47216.29087754501,1780.7039875315602
skas_12f,506.49,1..23,50,20,171,102,96861.66755013699,3849.6655196972592,50161.19913932657,2029.206503579225
skas_12f,242.084,1..23,50,20,81,12,83837.25424456193,2969.1892252751372,50326.10767675405,2045.263639048683
skas_12f,297.237,1..23,50,20,98,29,80779.74404494854,3032.9251456044726,51686.342255942385,2112.9740909251727
skas_12f,263.862,1..23,50,20,86,17,76547.63294295922,2995.674708065216,46863.82636934775,1963.4451342185453
skas_12f,320.78,1..23,50,20,105,36,68222.24005014377,2562.9681062763007,51581.39686750612,2119.5155733360957
skas_12f,237.77,1..23,50,20,74,5,88587.71001648488,3379.9749146821437,48925.46096702521,1995.8578158425275
skas_12f,380.466,1..23,50,20,131,62,61913.66093614594,2309.3723208482643,48857.54958167733,2025.8975345738943
skas_12f,267.305,1..23,50,20,92,23,66605.27789227782,2541.2738926519996,46647.215521707076,1897.776444932532
skas_12f,372.648,1..23,50,20,122,53,80414.45045618931,2912.119137118601,50955.028335857976,2027.3371047706983
skas_12f,342.127,1..23,50,20,112,43,81324.66096873091,3093.494502748695,49337.52437799719,1974.0486114774615
skas_12f,686.127,1..23,50,20,229,160,85612.93344716886,3127.7225544247885,48371.02906980987,1872.2799513365162
skas_12f,446.34,1..23,50,20,143,74,89897.28236873174,3279.7270187507984,49635.48774608013,1891.4766521100605
skas_12f,311.541,1..23,50,20,108,39,82067.04101708377,3087.766451077577,49221.16942884788,1934.4018335732517
skas_12f,384.954,1..23,50,20,131,62,75692.62983105077,2736.9328354683635,44243.22460667888,1775.4996255736207
skas_12f,262.865,1..23,50,20,90,21,92988.3927129102,3470.0181638630693,49175.06534574555,1850.155815675951
skas_12f,393.522,1..23,50,20,127,58,90100.30997736336,3451.625487014093,43500.85707761641,1745.0721266872351
skas_12f,264.177,1..23,50,20,85,16,86687.16035733039,3332.025772322355,46811.05460855199,1840.6718831285243
skas_12f,417.965,1..23,50,20,141,72,114260.35452008466,4098.488956434933,46581.0416383588,1915.8600779606988
skas_12f,247.825,1..23,50,20,80,11,96081.40027659785,3499.7228736128927,49359.87896999354,1958.169439203529
skas_12f,378.9,1..23,50,20,117,48,82105.94263742256,3269.6479322514656,49022.98217159868,2000.4845182715362
skas_12f,232.409,1..23,50,20,75,6,77076.52019163918,2825.8384695380632,50031.70361878438,2095.026619487203
skas_12f,219.937,1..23,50,20,74,5,77681.76409484349,2975.7116011076087,51161.93636232194,2089.3994226871146
skas_12f,226.762,1..23,50,20,76,7,85968.4276067974,3089.939667777052,49836.502855614344,2105.036954782387
skas_12f,222.72,1..23,50,20,77,8,69662.69909111336,2746.634883041293,51112.28475192642,1968.6377791111513
skas_12f,222.249,1..23,50,20,78,9,94336.1092931851,3544.6544615114162,49843.611456207196,1889.4235821922769
skas_12f,364.214,1..23,50,20,116,47,57904.931217561345,2262.347821184308,45247.42669000324,1823.8454621196772
skas_12f,256.562,1..23,50,20,80,11,91183.33173805672,3314.444075795481,46818.48484795265,1897.7763174938705
skas_12f,376.572,1..23,50,20,120,51,96896.77418276474,3434.2242997730887,49251.86261304466,1779.400424686864
skas_12f,312.545,1..23,50,20,108,39,95018.93436394059,3422.1984526145948,44559.059700488324,1899.5146788323525
skas_12f,416.934,1..23,50,20,133,64,81353.62026204409,2912.0125944782963,50605.29069393108,1989.0535366716003
skas_12f,277.36,1..23,50,20,89,20,62790.24016116295,2307.7560392191626,49669.49750695727,1983.9929491323508
skas_12f,323.003,1..23,50,20,102,33,96357.68515223089,3469.5101796425015,50815.013133164575,2066.478870564058
skas_12f,274.773,1..23,50,20,92,23,99960.60234850404,3683.143042071987,48471.364414858035,1914.7081754797994
skas_12f,237.683,1..23,50,20,76,7,86111.12681032745,3100.719289074556,51130.49361870023,1998.9066427240525
skas_12f,487.488,1..23,50,20,161,92,88805.08730618517,3237.1826259339427,44280.35420306828,1742.0712740780991
skas_12f,492.922,1..23,50,20,161,92,74414.38037138442,2826.245151543482,47726.774763906535,1830.6147879686428
skas_12f,294.024,1..23,50,20,101,32,78687.40600242319,3063.7754566996277,51952.47162400423,2139.9557322777114
skas_12f,378.843,1..23,50,20,125,56,83002.27403883028,3068.679444380244,47632.551082885715,1935.020284659136
skas_12f,323.937,1..23,50,20,110,41,99076.38364948366,3536.9926931756145,47169.74216152906,1924.3637466856574
skas_12f,292.168,1..23,50,20,102,33,85261.6260786459,3368.4547141580097,50233.7248793746,2034.806075307138
skas_12f,265.281,1..23,50,20,92,23,87181.35520083511,3009.451010008226,44674.05730621324,1811.4553225861353
skas_12f,232.401,1..23,50,20,78,9,82470.87594271846,3120.527756496683,46348.88325124811,1911.2986087742308
skas_12f,426.033,1..23,50,20,143,74,62979.17772599506,2349.248264060023,46621.636560632476,1941.8928004954535
skas_12f,261.202,1..23,50,20,86,17,75513.12074692897,2735.963250482958,49388.04535004394,1903.446536081845
skas_12f,315.41,1..23,50,20,111,42,65555.76655609063,2353.4078404266324,47049.98028084118,1812.8975848388054
skas_12f,321.915,1..23,50,20,107,38,81373.95294087761,3227.209787763363,45740.65456740996,1920.8560990366898
skas_12f,399.326,1..23,50,20,128,59,95679.29549713215,3471.0571912030773,47316.41304086257,1917.3128801962318
skas_12f,398.27,1..23,50,20,131,62,89493.64116923138,3525.91811502564,45301.66515535283,1862.1338926477072
skas_12f,278.377,1..23,50,20,96,27,101064.28798978837,3655.462381450754,50773.117041413265,2094.9217561317705
skas_12f,214.023,1..23,50,20,75,6,92775.81099411298,3832.479186771089,48988.255186066104,1918.5652235715675
skas_12f,232.048,1..23,50,20,74,5,79849.03380956322,3014.0876742647733,49263.76767060975,1887.0882105788237
skas_12f,344.922,1..23,50,20,122,53,80600.31367667032,2861.9882891382867,47927.296603773786,1846.5660284095163
skas_12f,276.455,1..23,50,20,89,20,71691.40734891381,2684.532244246698,48893.14327375358,1912.9379676732694
skas_12f,472.478,1..23,50,20,156,87,84615.94155273779,3236.4387393353163,49410.37469461872,1894.4648596678019
skas_12f,538.24,1..23,50,20,183,114,98713.9110100442,3513.2246757408802,49454.80042321653,1908.664245385025
skas_12f,272.404,1..23,50,20,87,18,83551.96691135773,3366.382912211585,50194.10300607103,1998.7623624111716
skas_12f,460.382,1..23,50,20,147,78,105229.45406343558,4026.887915288059,46853.40304935994,1852.42819681343
skas_12f,229.833,1..23,50,20,80,11,66636.20992274683,2582.050844500716,50006.860854325794,2063.1861555234655
skas_12f,235.977,1..23,50,20,77,8,84277.24229962312,3340.695184922828,49852.99918546911,1994.7266889591235
skas_12f,251.038,1..23,50,20,83,14,97401.21047432818,3610.3361722583286,51993.73536839848,2132.861112539658
skas_12f,498.506,1..23,50,20,174,105,71968.55436826331,2913.0481492213994,48771.79408688568,2047.672983776936
skas_12f,260.702,1..23,50,20,86,17,79894.05647539897,2968.153541926653,48859.387830239655,2042.1901202284278
skas_12f,324.076,1..23,50,20,109,40,97923.57073700613,4072.7809756303695,48623.02584446453,1964.5069082083983
skas_12f,296.777,1..23,50,20,102,33,73229.04912540299,2851.075519279866,45277.27800721967,1903.8086869260976
skas_12f,422.794,1..23,50,20,143,74,82297.86019310998,3153.149690588336,48334.126095844156,1944.6642584167953
skas_12f,401.077,1..23,50,20,141,72,82435.51117965093,3212.1736943397914,45681.827390281345,1837.4151200499766
skas_12f,381.533,1..23,50,20,129,60,81531.14980189409,2995.302637494322,45664.2252404112,1916.2040910289759
skas_12f,215.714,1..23,50,20,75,6,97891.50581167641,3486.483333854621,51923.90200845881,1990.2803381819278
skas_12f,337.664,1..23,50,20,115,46,81724.06536524181,3193.2426905159446,48515.56676052728,2030.2402262491896
skas_12f,315.775,1..23,50,20,106,37,67224.78888516345,2588.9869867152565,45419.82527684376,1756.5806915511093
skas_12f,326.845,1..23,50,20,106,37,100264.54230017673,3736.4914524904484,48868.50479408746,2010.740395776442
skas_12f,234.253,1..23,50,20,74,5,94866.93702045463,3778.6270243382933,52937.788251545884,2147.007661240194
skas_12f,334.187,1..23,50,20,114,45,86924.16516442048,3252.9853507405683,47896.834575103545,1969.5962296442744
skas_12f,252.127,1..23,50,20,75,6,65229.932371955176,2476.2142509821692,48817.50085821695,1912.397041558672
skas_12f,772.896,1..23,50,20,251,182,78097.5884874611,2941.0261800569915,47967.62923794989,1944.9346728944647
skas_12f,343.261,1..23,50,20,116,47,92155.64145351666,3478.3939508663643,46461.73317842902,1784.1766196303458
skas_12f,467.237,1..23,50,20,161,92,76185.51823679752,2885.604279978629,46442.941859583734,1799.971214381192
skas_12f,415.172,1..23,50,20,134,65,87522.3599428621,3111.903322762658,48909.18105986645,1931.2389719488747
skas_12f,615.572,1..23,50,20,203,134,81597.39340957422,2989.9647895513035,48266.626579755575,1971.1655294057553
skas_12f,405.102,1..23,50,20,138,69,68109.6533386709,2558.6272332796934,48488.7978218937,1938.6104920259222
skas_12f,333.764,1..23,50,20,110,41,81623.27922414095,3078.522357060946,47633.61136968874,1847.7591977245934
skas_12f,251.709,1..23,50,20,84,15,73346.80215077601,2605.612533795352,47703.520030741325,1840.6829574084175
