dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_8s,0.771,1..9,50,20,91,37,19651.81073630504,899.5678497748855,8624.860919949679,605.735171075398
skas_8s+,0.771,1..9,50,20,91,37,21452.434424805328,995.9560044280785,10876.75858343068,761.7237557047953
skas_8s,0.615,1..9,50,20,84,30,14691.703605002516,783.7851258367565,8146.1127966314325,585.5598205295155
skas_8s+,0.615,1..9,50,20,84,30,19847.776523280067,1043.8442660296323,10548.063536841013,739.8436660075367
skas_8s,0.482,1..9,50,20,62,8,15057.21161582331,680.8926296123341,8913.072171766036,712.6351077674966
skas_8s+,0.482,1..9,50,20,62,8,17934.785509482263,799.8088801393645,10863.394363671741,855.7368122687499
skas_8s,0.736,1..9,50,20,93,39,15965.210119594256,951.1683973221726,8881.170239418962,628.2763432505094
skas_8s+,0.736,1..9,50,20,93,39,17734.39335468018,1098.4396324763247,11840.642725642258,787.0417968021626
skas_8s,1.135,1..9,50,20,140,86,16610.751650218153,940.8491145794465,7573.290132685099,555.4521311186618
skas_8s+,1.135,1..9,50,20,140,86,19727.490674131786,1154.8257212047617,10421.802823574897,759.6937544337613
skas_8s,0.467,1..9,50,20,60,6,25317.365989268732,1183.8940114497145,7952.6663364842325,566.8038444432311
skas_8s+,0.467,1..9,50,20,60,6,26866.004369525283,1286.8839020532826,10399.327174420316,714.2158578343908
skas_8s,0.554,1..9,50,20,75,21,16141.294698520283,821.0626194016899,8359.176580552652,636.4141248792696
skas_8s+,0.554,1..9,50,20,75,21,18990.702880934983,909.5884804035638,12393.739694503704,893.3736820419792
skas_8s,0.528,1..9,50,20,66,12,19353.676847717106,930.5794626228114,8782.779781213634,673.7722298774648
skas_8s+,0.528,1..9,50,20,66,12,22070.4536206543,1095.5846152546444,11771.674098915559,858.4859867575234
skas_8s,0.892,1..9,50,20,114,60,27316.311121068866,1034.3725003992456,8356.724140468357,636.0027340979956
skas_8s+,0.892,1..9,50,20,114,60,29311.104783013256,1140.0057773993178,11605.85903371691,851.0216941966399
skas_8s,1.73,1..9,50,20,225,171,20753.77122042643,937.0446178931747,7710.166142923505,537.2881554766549
skas_8s+,1.73,1..9,50,20,225,171,24202.684724754447,1100.8245829804882,10207.51771030989,705.5828376458161
skas_8s,0.537,1..9,50,20,62,8,17334.64246190327,741.4804936940599,8460.697832378937,610.6219627979859
skas_8s+,0.537,1..9,50,20,62,8,19102.89868374606,852.5611770235524,10882.71555655543,825.4117357574773
skas_8s,0.618,1..9,50,20,75,21,22118.949418728815,1036.4308672417744,8851.58769341712,702.2680780584143
skas_8s+,0.618,1..9,50,20,75,21,26199.62387578258,1230.7524306401835,11166.61770220578,916.5512999183067
skas_8s,1.036,1..9,50,20,135,81,21041.439115388883,1095.296703413061,8147.266267585236,595.108793402032
skas_8s+,1.036,1..9,50,20,135,81,21861.21166869243,1168.2881933796573,11689.168703521522,774.517413067753
skas_8s,0.516,1..9,50,20,68,14,13210.963280391345,752.4459651174018,8684.067034128982,679.4509886113389
skas_8s+,0.516,1..9,50,20,68,14,16313.9079574143,921.2983298692751,11068.70495345433,758.9050940165125
skas_8s,0.434,1..9,50,20,58,4,21390.857076822413,1047.2541314751763,9371.447806958427,650.7063103692883
skas_8s+,0.434,1..9,50,20,58,4,25119.71421648274,1311.6504278884975,13544.056325740048,896.4449898298938
skas_8s,0.679,1..9,50,20,92,38,31563.960450748742,1327.968731762792,8810.491700683791,615.3021831715098
skas_8s+,0.679,1..9,50,20,92,38,33553.47926752732,1468.776034780214,11742.070169820608,764.762102073953
skas_8s,0.489,1..9,50,20,63,9,15348.486512578107,653.5192440618641,8622.504843429628,661.8112492343936
