dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_6s,0.862,1..17,100,30,123,21,3352.156302982968,356.93532554449087,1999.3988278124493,213.95520017014158
skas_6s+,0.862,1..17,100,30,123,21,4740.250636343441,447.4605995789574,2666.693755653076,295.4758964063074
skas_6s,0.722,1..17,100,30,111,9,2437.241284008122,267.9756996366609,1921.2914293579408,204.5496603884029
skas_6s+,0.722,1..17,100,30,111,9,3738.459136507335,406.2203782232367,2223.5818617086975,250.04339685102138
skas_6s,0.961,1..17,100,30,138,36,3360.4401652190136,307.2535001649605,1803.8547515286602,179.19923377379354
skas_6s+,0.961,1..17,100,30,138,36,4038.962593898892,362.9889562665439,2367.328847176675,235.86186314638988
skas_6s,0.754,1..17,100,30,111,9,5904.285448059178,434.22155489283335,1710.6280860229529,185.64506502633375
skas_6s+,0.754,1..17,100,30,111,9,6452.636626169728,506.05513606398034,1976.716633121078,227.37856351124344
skas_6s,0.69,1..17,100,30,108,6,4710.822594403578,383.28743687313244,1920.115437636874,211.82744851158196
skas_6s+,0.69,1..17,100,30,108,6,5848.75877516892,541.0301629516914,2006.3184947963948,224.38620578390007
skas_6s,0.931,1..17,100,30,132,30,3397.0526057324196,218.4389731363985,1571.7145962885777,157.34185869127487
skas_6s+,0.931,1..17,100,30,132,30,4151.539072600443,298.4015336831414,1693.1050124717892,177.52920899760815
skas_6s,0.742,1..17,100,30,108,6,3043.4321477892727,236.34669270359862,1710.6280860229529,185.64506502633375
skas_6s+,0.742,1..17,100,30,108,6,5156.152822736176,423.6409460331671,1976.716633121078,227.37856351124344
skas_6s,1.024,1..17,100,30,152,50,2430.508704930654,272.71984236238376,1571.7145962885777,157.34185869127487
skas_6s+,1.024,1..17,100,30,152,50,2869.7551912042704,324.1806642997638,1693.1050124717892,177.52920899760815
skas_6s,0.916,1..17,100,30,138,36,4148.551085161181,294.78464838662256,1761.5769257086893,180.03817531862566
skas_6s+,0.916,1..17,100,30,138,36,4477.885638385109,333.13855836540154,2292.93239924613,225.35515241921735
skas_6s,0.781,1..17,100,30,114,12,3258.708875391118,235.77731111498233,1696.9040174845475,192.2651368745584
skas_6s+,0.781,1..17,100,30,114,12,5102.533230611136,389.211102550928,2163.011593977903,244.84769963764853
skas_6s,0.797,1..17,100,30,109,7,3445.0078138859444,381.51552610479854,1571.7145962885777,157.34185869127487
skas_6s+,0.797,1..17,100,30,109,7,4432.5377743762165,489.00902558211675,1693.1050124717892,177.52920899760815
skas_6s,0.819,1..17,100,30,121,19,4112.951191887072,262.94539936092343,1571.7145962885777,157.34185869127487
skas_6s+,0.819,1..17,100,30,121,19,4606.267711526673,301.25129242939107,1693.1050124717892,177.52920899760815
skas_6s,0.74,1..17,100,30,110,8,3174.168031369116,237.74769893421893,1571.7145962885777,157.34185869127487
skas_6s+,0.74,1..17,100,30,110,8,3910.589483984336,284.2421097551197,1693.1050124717892,177.52920899760815
skas_6s,0.956,1..17,100,30,139,37,2884.2537097593035,227.15827200287853,1571.7145962885777,157.34185869127487
skas_6s+,0.956,1..17,100,30,139,37,3734.580487288631,273.07412951159745,1693.1050124717892,177.52920899760815
skas_6s,1.173,1..17,100,30,159,57,3907.2758200485373,290.45712286691014,1503.068538609019,163.21379599612476
