dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_10s,0.645,1..11,50,20,61,6,35723.5533842396,1964.3863174262726,17665.1301262934,1098.0447761890678
skas_10s+,0.645,1..11,50,20,61,6,38838.91177368316,2110.595441414481,24832.939788989395,1527.4717618926227
skas_10s,1.514,1..11,50,20,143,88,46633.511228162446,2496.338191756637,16534.90229508251,1170.0643092503535
skas_10s+,1.514,1..11,50,20,143,88,50939.92953366294,2717.2661327507813,21840.46115946303,1583.8254656609108
skas_10s,0.831,1..11,50,20,73,18,33689.09903941333,1641.3859540783844,17562.10515422671,1136.130594147056
skas_10s+,0.831,1..11,50,20,73,18,40457.61987325965,2000.4806197790253,24343.960526883115,1569.6588100963272
skas_10s,0.862,1..11,50,20,81,26,40578.41591531225,1847.3002053606726,18723.20834670632,1238.1491257028297
skas_10s+,0.862,1..11,50,20,81,26,53823.92760472427,2475.521145123393,24981.507260906652,1459.994079059567
skas_10s,0.85,1..11,50,20,84,29,42495.68044729144,2138.2268519557297,18154.45497665515,1220.0371534268756
skas_10s+,0.85,1..11,50,20,84,29,47887.97849091598,2523.314583166556,22105.55880485992,1493.969317661499
skas_10s,0.984,1..11,50,20,91,36,61247.144083320025,2642.5113726924537,17007.38654073542,1148.5936022022968
skas_10s+,0.984,1..11,50,20,91,36,65876.14402592144,3001.0183856996446,23714.75806654839,1528.6515335436634
skas_10s,1.101,1..11,50,20,107,52,34320.772967067904,1839.1112525608746,16776.38250146775,1163.2063803358806
skas_10s+,1.101,1..11,50,20,107,52,38191.28571293151,2041.0744632237227,27419.18669586563,1837.534942821068
skas_10s,1.581,1..11,50,20,149,94,49021.977391682165,2226.625008373483,16701.953302251713,1205.3716836094907
skas_10s+,1.581,1..11,50,20,149,94,53974.86000818821,2600.3148796614,24412.035604679186,1685.7562109005398
skas_10s,1.04,1..11,50,20,97,42,30242.143028649203,1736.6440593534355,17563.78716387427,1285.6914030040514
skas_10s+,1.04,1..11,50,20,97,42,37096.886950004635,2101.5850763246626,22894.23797239724,1671.7700791059463
skas_10s,0.859,1..11,50,20,78,23,30826.394440026015,1611.9682470449484,20127.176321596264,1342.2528938251355
skas_10s+,0.859,1..11,50,20,78,23,35179.84696420962,1859.6561070753276,26800.99732700288,1809.9408127693896
skas_10s,0.801,1..11,50,20,72,17,32201.200940119652,1874.3221536568187,18739.20836659227,1341.228812319201
skas_10s+,0.801,1..11,50,20,72,17,37527.3828606064,2247.8694596176015,22323.621212164497,1564.1400885439916
skas_10s,1.191,1..11,50,20,109,54,55860.73549311457,2834.4030714556634,18703.085898233767,1210.5615706131828
skas_10s+,1.191,1..11,50,20,109,54,58680.542750632936,2972.2709190825894,24513.133633266716,1447.3186062279594
skas_10s,1.081,1..11,50,20,98,43,32920.837194188134,1767.8610379299391,17480.408372153666,1201.1857659852647
skas_10s+,1.081,1..11,50,20,98,43,35509.65639149014,1961.7017537273607,25073.554979419216,1706.0687963455564
skas_10s,1.686,1..11,50,20,154,99,44654.37289690567,2565.093496476358,17997.103775570708,1053.9723975195093
skas_10s+,1.686,1..11,50,20,154,99,48396.49336814035,2864.614053467333,24229.453214399397,1388.9864671146227
skas_10s,1.133,1..11,50,20,106,51,37868.54300148841,2119.5996061915876,17740.597069284464,1165.1249192000018
skas_10s+,1.133,1..11,50,20,106,51,42009.39999351302,2473.3732829156734,23900.725404220964,1596.8703226732107
skas_10s,1.614,1..11,50,20,150,95,43263.91215002529,2143.043474880081,18758.433148830474,1212.6736994287319
skas_10s+,1.614,1..11,50,20,150,95,49270.26561434911,2439.467830552975,22994.62275991908,1474.9921726037994
skas_10s,1.404,1..11,50,20,136,81,38294.85835572677,2267.635900455842,16788.10646714388,1151.8231613253938
skas_10s+,1.404,1..11,50,20,136,81,45183.59796515467,2634.6826651487413,24963.763678440555,1540.2702179307726
skas_10s,0.76,1..11,50,20,66,11,44402.094637997376,2312.351086826203,18508.615047716306,1228.90067602211
skas_10s+,0.76,1..11,50,20,66,11,54400.15474381657,2827.057567064455,24016.124059933914,1574.9067921944445
skas_10s,1.071,1..11,50,20,98,43,34646.295929638334,2065.779729847451,18125.255461321303,1207.3772918106963
skas_10s+,1.071,1..11,50,20,98,43,40326.17224944843,2427.4476433574273,24606.998739023526,1563.7284077892373
skas_10s,0.89,1..11,50,20,82,27,37232.18439143789,1855.453814983114,18309.177449170304,1227.199990446446
skas_10s+,0.89,1..11,50,20,82,27,44459.046740905775,2283.2582324832615,23529.126114770854,1574.335664910051
skas_10s,0.744,1..11,50,20,70,15,36256.7714579316,2329.6705723383348,17501.033451169515,1163.2296933840616
skas_10s+,0.744,1..11,50,20,70,15,39420.482968121934,2512.0685114137946,22216.751070748094,1550.9559262524922
skas_10s,1.398,1..11,50,20,123,68,53697.80582493741,2831.044329993902,17417.54759409689,1148.238870493045
skas_10s+,1.398,1..11,50,20,123,68,58163.12972611459,3101.613899103074,24638.3647351706,1570.9810018171638
skas_10s,1.181,1..11,50,20,109,54,43582.19764131447,2357.3173752499324,19185.723880477995,1195.2025773395653
skas_10s+,1.181,1..11,50,20,109,54,47036.76205092828,2624.351612829726,25945.9067204829,1567.2882959860644
skas_10s,0.993,1..11,50,20,97,42,43500.762689003335,2256.4341068396466,17693.80234162105,1093.7184743242601
skas_10s+,0.993,1..11,50,20,97,42,52061.84625899649,2728.6353983021672,26312.39212674518,1654.4422137132801
skas_10s,1.646,1..11,50,20,153,98,37576.33420093414,1941.876895232092,17645.079162026657,1199.6279496660436
skas_10s+,1.646,1..11,50,20,153,98,43811.85546541339,2317.666460648074,24834.32772177858,1732.7346821103492
skas_10s,1.602,1..11,50,20,151,96,49354.31255775959,2547.2243157052358,17615.35785988707,1189.9554553489124
skas_10s+,1.602,1..11,50,20,151,96,56194.64371210902,2949.601524131527,25145.090792635896,1671.053915593269
skas_10s,1.45,1..11,50,20,136,81,45598.23082537834,2317.078943023066,16882.50022153859,1097.8372493335157
skas_10s+,1.45,1..11,50,20,136,81,53057.14312659386,2696.201184366969,21916.885130924114,1438.5198956615632
skas_10s,0.834,1..11,50,20,77,22,29317.38807111851,1661.0495566152222,17732.210741254836,1195.8025598144136
